Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
DNA replication	7.958956612775235e-42	88	41.09914386279187	2.139930300852439	87	1		
DNA repair	1.8160056306806576e-41	140	40.74088280924569	1.8984978055826096	133	7		
DNA damage response	1.117377771198038e-38	160	37.9517999726233	1.8482792267407135	149	11		
DNA-templated DNA replication	1.2655026127883861e-36	63	35.89773695384954	2.153401082269738	63	0		
chromosome segregation	8.804854700301484e-34	91	33.05527780646308	2.6470723850317945	90	1		
chromosome organization	1.4004987282521329e-33	108	32.85371728120909	2.3622033808233396	107	1		
mitotic cell cycle process	1.7402168669680873e-31	122	30.75939662628139	2.4019148976859928	117	5		
nuclear division	4.6002677757035315e-28	80	27.337216887856314	2.5608404668916784	79	1		
organelle fission	2.0378868091680483e-26	84	25.690819941781456	2.4254800993702297	80	4		
nuclear chromosome segregation	3.400484570267471e-26	62	25.46845919142886	2.738743640660332	62	0		
sister chromatid segregation	9.742744265881339e-24	50	23.011318696954874	2.6671058348862324	50	0		
recombinational repair	1.8898933449863688e-22	51	21.723562704287538	2.1334708001403477	50	1		
DNA recombination	4.897910329274438e-22	72	21.30998917018268	2.154290850306664	71	1		
double-strand break repair via homologous recombination	7.936512831921981e-22	50	21.100370277235182	2.133353059953172	49	1		
mitotic sister chromatid segregation	1.018932281074401e-21	45	20.991854678538214	2.7271048892403837	45	0		
double-strand break repair	1.8196221636044035e-21	66	20.740018781958334	2.0605033928134717	65	1		
mitotic nuclear division	1.3282917004993577e-20	56	19.876706540927366	2.6001864372876606	55	1		
regulation of cell cycle process	1.9618792238615699e-16	76	15.707327731933113	2.3019664883517184	72	4		
cell cycle phase transition	1.4797790860302846e-15	65	14.8298031149288	2.3022252682385904	62	3		
regulation of cell cycle phase transition	3.197670645346949e-14	52	13.495166269881352	2.285602291417428	50	2		
