Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
ABC transporters	6.24739248341415e-6	17	5.204301209273019	-1.6087476249228172	1	16		
Adipocytokine signaling pathway	0.0075189780056356655	18	2.123841185562061	-1.528731834508145	1	17		
Alanine, aspartate and glutamate metabolism	0.06174359411169552	9	1.2094080937161598	-1.1230487770469715	2	7		
Apoptosis	6.14822658329067e-7	44	6.211250135632353	0.5432644828742438	29	15		
Arachidonic acid metabolism	4.129569069203102e-5	18	4.384095265687828	-0.8713152382099564	5	13		
Arginine and proline metabolism	3.5047500103343094e-5	19	4.455342954303401	-0.725752683392946	5	14		
Ascorbate and aldarate metabolism	5.9851682998497284e-5	17	4.222923632948735	-1.649280852639628	0	17		
Autophagy - animal	0.05415550005162465	30	1.266357429698476	-1.1791975364437548	4	26		
Base excision repair	1.2827966559370642e-13	26	12.891842180884206	1.6101060847349893	25	1		
Biosynthesis of amino acids	0.01877848700702354	16	1.7263394020044633	-1.1729779829605806	3	13		
Biosynthesis of cofactors	1.9247599912927294e-4	37	3.7156234173012908	-1.198249758666019	6	31		
Biosynthesis of unsaturated fatty acids	0.002776997163780894	10	2.5564245638057153	-0.9559652848402391	3	7		
Carbon metabolism	7.513924341534062e-4	26	3.1241331822057843	-0.9108161656553316	5	21		
Cell cycle	6.645599247063646e-28	75	27.177465851747726	2.3172922929531623	73	2		
Cellular senescence	6.558028831454217e-5	38	4.183226678347662	1.105745836023985	26	12		
Cysteine and methionine metabolism	0.03923519067139502	11	1.4063242325071916	-0.4572281757842916	5	6		
Cytosolic DNA-sensing pathway	0.0036619473708655913	15	2.4362879016255037	1.163816293598126	12	3		
D-Amino acid metabolism	0.005307695152623273	5	2.275094028787156	-1.5516936331579274	0	5		
DNA replication	2.0035971481236791e-29	34	28.69818959514734	1.9956754067483236	34	0		
Drug metabolism - cytochrome P450	3.9472043036923725e-6	22	5.403710394336699	-1.4462674030251084	1	21		
Drug metabolism - other enzymes	7.352382101587284e-6	27	5.133571930852256	-0.6131095151901579	8	19		
Fanconi anemia pathway	4.9126170038228796e-14	27	13.308687092899568	2.1803212950641626	27	0		
Fatty acid biosynthesis	0.09780810386355338	5	1.0096251603717317	-0.8655783719459776	1	4		
Fatty acid degradation	0.010931833258744927	12	1.9613070011432303	-1.5510289295428084	0	12		
Fatty acid metabolism	0.011102622395025548	15	1.954574430476627	-1.0363666728960792	3	12		
Folate transport and metabolism	0.00109446276602958	10	2.960799008680748	-1.2837951940755405	1	9		
FoxO signaling pathway	6.14822658329067e-7	41	6.211250135632353	0.010029961772632354	16	25		
Galactose metabolism	0.002201640019068464	10	2.6572536892300813	-0.8475753407075239	3	7		
Glutathione metabolism	0.0016283947982890907	16	2.7882402935917985	-0.39307610575889	5	11		
Glycerolipid metabolism	1.2899109736036368e-4	19	3.8894402625743076	-0.7920378053158341	3	16		
Glycerophospholipid metabolism	4.79096162792325e-6	29	5.3195773075071076	-1.081311631967452	5	24		
Glycine, serine and threonine metabolism	2.8021109732626363e-4	14	3.552514669149729	-1.3057423658825085	1	13		
Glycolysis / Gluconeogenesis	1.6256320783853587e-5	22	4.788977739435364	-0.9209482081534864	5	17		
Glyoxylate and dicarboxylate metabolism	0.005050761415468139	10	2.296643145919028	-1.6553896244255615	0	10		
Histidine metabolism	0.005027368594856075	8	2.298659272153343	-1.6387910950868707	0	8		
Homologous recombination	4.0698542456588745e-15	25	14.390421143954029	2.161480629760605	25	0		
Insulin signaling pathway	3.930173041207737e-4	33	3.40558832769398	-0.8088850516194622	8	25		
Linoleic acid metabolism	4.72632662971734e-6	13	5.32547626819199	-1.098350240096973	3	10		
Lysosome	0.0019142402467645162	31	2.7180035569999332	-1.32125009255567	3	28		
Metabolism of xenobiotics by cytochrome P450	1.8710452694703072e-4	19	3.727915704726974	-1.4521574008190707	1	18		
Mismatch repair	3.316121585242134e-14	18	13.47936955446926	2.0389899859718397	18	0		
Motor proteins	0.005067950102099612	38	2.2951676697336394	1.540735136813431	32	6		
Non-homologous end-joining	0.07325483093892983	4	1.1351637295958594	1.5542636051683343	4	0		
Nucleocytoplasmic transport	3.2757331995332245e-5	26	4.484691477695815	1.3691753812516514	26	0		
Nucleotide excision repair	8.81440162314515e-8	22	7.054807164996744	1.7583148167717455	21	1		
Nucleotide metabolism	1.9463447854874076e-4	24	3.7107802241030616	0.6520611853952716	15	9		
