Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
DNA replication	2.0035971481236791e-29	34	28.69818959514734	1.9956754067483236	34	0		
Cell cycle	6.645599247063646e-28	75	27.177465851747726	2.3172922929531623	73	2		
Homologous recombination	4.0698542456588745e-15	25	14.390421143954029	2.161480629760605	25	0		
Mismatch repair	3.316121585242134e-14	18	13.47936955446926	2.0389899859718397	18	0		
Fanconi anemia pathway	4.9126170038228796e-14	27	13.308687092899568	2.1803212950641626	27	0		
Base excision repair	1.2827966559370642e-13	26	12.891842180884206	1.6101060847349893	25	1		
PPAR signaling pathway	2.973493589708993e-13	36	12.526732993420636	-1.4028580760838159	3	33		
Proteasome	4.706019863057946e-9	23	8.327346244096194	1.3046512941354738	23	0		
Nucleotide excision repair	8.81440162314515e-8	22	7.054807164996744	1.7583148167717455	21	1		
Apoptosis	6.14822658329067e-7	44	6.211250135632353	0.5432644828742438	29	15		
FoxO signaling pathway	6.14822658329067e-7	41	6.211250135632353	0.010029961772632354	16	25		
Steroid biosynthesis	1.1289084435755565e-6	12	5.947341278679351	-1.740276684100363	1	11		
Retinol metabolism	2.003240306260777e-6	26	5.6982669501457135	-1.6441598968739934	0	26		
Primary bile acid biosynthesis	3.249300500252835e-6	13	5.488210122583379	-1.614388149574592	1	12		
Drug metabolism - cytochrome P450	3.9472043036923725e-6	22	5.403710394336699	-1.4462674030251084	1	21		
Linoleic acid metabolism	4.72632662971734e-6	13	5.32547626819199	-1.098350240096973	3	10		
Glycerophospholipid metabolism	4.79096162792325e-6	29	5.3195773075071076	-1.081311631967452	5	24		
ABC transporters	6.24739248341415e-6	17	5.204301209273019	-1.6087476249228172	1	16		
Drug metabolism - other enzymes	7.352382101587284e-6	27	5.133571930852256	-0.6131095151901579	8	19		
Glycolysis / Gluconeogenesis	1.6256320783853587e-5	22	4.788977739435364	-0.9209482081534864	5	17		
