Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
DNA replication	3.1826695963318822e-37	85	36.49720844461425	2.1476960315894695	84	1		
chromosome segregation	7.816889830450861e-33	92	32.10696600885194	2.423010516005017	88	4		
DNA repair	7.666696378146896e-32	129	31.11539173563595	2.004514329560703	125	4		
DNA-templated DNA replication	8.440101870412998e-32	60	31.073652311491497	2.1361818708324747	60	0		
DNA damage response	4.066724367620552e-31	151	30.390755261988826	1.9298329496935458	144	7		
mitotic cell cycle process	5.066988391153247e-31	124	30.295250090709104	2.3682441420507003	118	6		
chromosome organization	2.3661373847653e-28	103	27.625960042584985	2.3069513255748544	100	3		
nuclear division	7.801205056942002e-27	80	26.107838306391937	2.5349738561373307	78	2		
nuclear chromosome segregation	3.7340601045897597e-25	62	24.427818695791977	2.531903859952559	60	2		
organelle fission	1.8859498210996603e-24	83	23.724469866587786	2.4398024515301864	79	4		
sister chromatid segregation	5.531235644904389e-24	51	23.257177839071662	2.426541395583855	49	2		
mitotic sister chromatid segregation	8.086326314173471e-20	44	19.092248737206468	2.5406491393573223	43	1		
mitotic nuclear division	1.2898330621469855e-19	56	18.889466495033997	2.495343396616935	54	2		
DNA recombination	1.0087867765226596e-16	66	15.996200619259003	2.2473201401004808	66	0		
cell cycle phase transition	1.7507657241563976e-16	68	15.756771964432383	2.265555496009662	65	3		
recombinational repair	3.6919965484099875e-16	45	15.432738713661076	2.2934597536170203	45	0		
regulation of cell cycle process	5.611086377674709e-16	77	15.250953045668536	2.2179373546300765	72	5		
meiotic cell cycle	9.66989073100412e-16	47	15.014578433382363	2.5993885908436916	47	0		
double-strand break repair via homologous recombination	1.2881280031657817e-15	44	14.890040978353232	2.2798534945785716	44	0		
double-strand break repair	9.728195528249773e-15	58	14.011967709043118	2.1620893366097644	58	0		
