Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
ABC transporters	0.0034783868485796926	12	2.4586221196131377	-0.9573597584520439	3	9		
Adipocytokine signaling pathway	0.053655209407850825	15	1.2703881058089246	-1.8278523215290023	0	15		
Alanine, aspartate and glutamate metabolism	0.053655209407850825	9	1.2703881058089246	-1.5309355097524382	2	7		
Apoptosis	4.3354097047002825e-5	38	4.362969854570056	0.7622099262290226	25	13		
Arachidonic acid metabolism	2.433158805389098e-6	20	5.6138295449724085	0.04404005933435531	8	12		
Arginine and proline metabolism	0.0025064530457274735	15	2.600940426767051	-1.0921258281374415	2	13		
Ascorbate and aldarate metabolism	1.1102679687451515e-5	18	4.954572189409664	-1.9532122537922332	0	18		
Autophagy - animal	0.009391225913942886	33	2.027277712003389	-1.2469073855023485	5	28		
Base excision repair	3.1152047300556306e-8	20	7.506513406400732	1.781555699442022	20	0		
Biosynthesis of amino acids	0.0352633913726078	15	1.452675922791568	-0.9546224898214072	4	11		
Biosynthesis of cofactors	1.0294574561266613e-5	40	4.987391596545911	-1.2180898337473816	6	34		
Biosynthesis of unsaturated fatty acids	0.009229746662545422	9	2.0348102192957045	-1.2066501665023444	1	8		
Carbon metabolism	0.002735075729811679	24	2.563030644254133	-0.7422902609673494	6	18		
Cell cycle	7.32084694352164e-27	73	26.135438672818584	2.2697482101355	69	4		
Cellular senescence	0.0016377990066037253	33	2.7857393966408557	1.5019510007840267	26	7		
Cornified envelope formation	0.053655209407850825	25	1.2703881058089246	-0.5818054334453417	6	19		
Cytosolic DNA-sensing pathway	0.0012095597853457305	16	2.917372660742315	0.93210365034975	12	4		
D-Amino acid metabolism	7.379211083819394e-4	6	3.1319900663962312	-1.7060025717098866	0	6		
DNA replication	2.8577811226607695e-23	30	22.54397103686792	2.0154491751987185	30	0		
Drug metabolism - cytochrome P450	1.5404010894292744e-7	24	6.812366182899894	-1.7234316366861628	1	23		
Drug metabolism - other enzymes	1.0678057949629477e-8	32	7.97150772656333	-0.8786483053838936	8	24		
