Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
Cell cycle	7.32084694352164e-27	73	26.135438672818584	2.2697482101355	69	4		
DNA replication	2.8577811226607695e-23	30	22.54397103686792	2.0154491751987185	30	0		
Mismatch repair	4.850617101105963e-16	19	15.314203006437632	1.8819112203288784	19	0		
Homologous recombination	2.309784694403265e-14	24	13.63642850079639	2.035585245895477	24	0		
Fanconi anemia pathway	2.4756486641409945e-13	26	12.60631098891339	2.121209546197626	26	0		
Drug metabolism - other enzymes	1.0678057949629477e-8	32	7.97150772656333	-0.8786483053838936	8	24		
PPAR signaling pathway	2.1226498286301832e-8	29	7.673121645041244	-1.5272595118680616	2	27		
Base excision repair	3.1152047300556306e-8	20	7.506513406400732	1.781555699442022	20	0		
Drug metabolism - cytochrome P450	1.5404010894292744e-7	24	6.812366182899894	-1.7234316366861628	1	23		
Retinol metabolism	1.3420129991009043e-6	26	5.872243277452831	-1.5110459618253482	1	25		
Arachidonic acid metabolism	2.433158805389098e-6	20	5.6138295449724085	0.04404005933435531	8	12		
p53 signaling pathway	2.8845231130615386e-6	25	5.539925976783887	0.871002411359247	16	9		
Linoleic acid metabolism	3.932851868800352e-6	13	5.405292411020748	-0.18079235986751807	4	9		
Metabolism of xenobiotics by cytochrome P450	3.9770045401067085e-6	22	5.400443913227707	-1.7670591875008228	1	21		
FoxO signaling pathway	4.440785205187004e-6	38	5.352540232558818	-0.027733553831440178	15	23		
Nucleotide excision repair	4.440785205187004e-6	19	5.352540232558818	1.6624364793627782	18	1		
Steroid hormone biosynthesis	4.440785205187004e-6	23	5.352540232558818	-1.4986766670645528	1	22		
Biosynthesis of cofactors	1.0294574561266613e-5	40	4.987391596545911	-1.2180898337473816	6	34		
Ascorbate and aldarate metabolism	1.1102679687451515e-5	18	4.954572189409664	-1.9532122537922332	0	18		
Pyrimidine metabolism	1.190949234982962e-5	20	4.92410675021886	0.4409187841381803	11	9		
