Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
T cell activation	0.07179959801142856	3	1.1438779872605838	-9.864511286958614	0	3		
antigen processing and presentation	0.056551549634605916	2	1.2475554899686332	-13.73312663400203	0	2		
cellular response to cytokine stimulus	0.019948752032706036	4	1.7000842680104133	-2.2226177720359437	0	4		
cytokine-mediated signaling pathway	0.018463950535768166	4	1.7336753719814526	-2.2226177720359437	0	4		
defense response	6.277293774617835e-9	13	8.202227546080858	-2.3895565275600252	2	11		
defense response to other organism	2.385333183312793e-8	11	7.6224509501383695	-2.7003660089551524	1	10		
defense response to symbiont	1.2546117842738256e-6	6	5.901490637553459	-2.7352807824655536	0	6		
defense response to virus	1.2546117842738256e-6	6	5.901490637553459	-2.7352807824655536	0	6		
intermediate filament cytoskeleton organization	0.07179959801142856	2	1.1438779872605838	-1.3329800826996037	1	1		
intermediate filament organization	0.03599102230529104	2	1.443805817274815	-1.3329800826996037	1	1		
intermediate filament-based process	0.07179959801142856	2	1.1438779872605838	-1.3329800826996037	1	1		
positive regulation of immune response	0.09090413508056945	3	1.0414163609823457	-9.761690165505202	0	3		
regulation of hematopoietic progenitor cell differentiation	0.07179959801142856	2	1.1438779872605838	-3.0725769854469824	0	2		
regulation of hematopoietic stem cell differentiation	0.059704681325391314	2	1.223991615368475	-3.0725769854469824	0	2		
regulation of stem cell differentiation	0.07179959801142856	2	1.1438779872605838	-3.0725769854469824	0	2		
response to biotic stimulus	2.385333183312793e-8	12	7.6224509501383695	-2.652608890948205	1	11		
response to cytokine	0.025966166299630614	4	1.585592165804598	-2.2226177720359437	0	4		
response to external biotic stimulus	2.385333183312793e-8	12	7.6224509501383695	-2.652608890948205	1	11		
response to other organism	2.385333183312793e-8	12	7.6224509501383695	-2.652608890948205	1	11		
response to virus	6.277293774617835e-9	8	8.202227546080858	-2.819604833210911	0	8		
