Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
DNA replication	1.7949401374912012e-44	82	43.74595003086882	1.9626667112243794	80	2		
mitotic cell cycle process	1.3344351976492616e-36	114	35.87470251141313	2.203841756722162	109	5		
DNA-templated DNA replication	3.6147114317162305e-34	56	33.4419263674194	2.019820279470999	56	0		
chromosome organization	1.977982340964168e-32	94	31.703777590016923	2.083212639111904	92	2		
chromosome segregation	6.834039930973444e-32	79	31.16532248796764	2.2724075725033925	77	2		
nuclear division	8.650325273909887e-29	72	28.062967561667186	2.268594127150131	70	2		
DNA repair	6.041391321743347e-28	104	27.218863032608628	1.9644999004087185	103	1		
DNA damage response	6.394580010424908e-28	122	27.194187974272847	1.9008755833443065	119	3		
nuclear chromosome segregation	1.8289445680778714e-26	56	25.737799456985428	2.291654840195552	55	1		
organelle fission	2.325442014417376e-26	74	25.633494485278472	2.218563731191216	71	3		
sister chromatid segregation	1.0582636254821515e-25	47	24.975406131137802	2.258817179890697	46	1		
mitotic nuclear division	2.0084222307916147e-22	52	21.697144980159326	2.277506647737265	50	2		
mitotic sister chromatid segregation	6.449132355716743e-22	41	21.190498709933866	2.3115991969772405	40	1		
DNA recombination	1.3421853239245398e-18	59	17.87218751427061	1.9895526003813475	59	0		
regulation of cell cycle process	3.5916291189838024e-17	67	16.444708516073447	2.053929714270665	63	4		
DNA replication initiation	4.3687869921040184e-17	21	16.359639129565778	2.2051571557296032	21	0		
recombinational repair	9.369856313032428e-17	40	16.028267068977282	2.1065144912382356	40	0		
double-strand break repair via homologous recombination	4.454122717566259e-16	39	15.351237821691818	2.1023917790005795	39	0		
cell cycle phase transition	7.061546606791527e-16	57	15.151100170161438	2.14394901050265	55	2		
cell division	8.805050518821015e-14	76	13.055268147932678	2.328815525292541	74	2		
