Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
ABC transporters	1.8814260559772085e-5	14	4.7255128457002815	-0.8949897502917635	4	10		
Adipocytokine signaling pathway	0.06253811615105308	12	1.2038552052409084	-1.7752076779607753	0	12		
Alanine, aspartate and glutamate metabolism	0.035196994256846664	8	1.453494422698064	-1.851972840215999	1	7		
Apoptosis	3.960966650838445e-6	34	5.402198814101087	0.47390018128108746	20	14		
Arachidonic acid metabolism	0.0010346971097827521	13	2.98518676402511	-0.11565164520057016	5	8		
Arginine and proline metabolism	0.005789060662439372	12	2.237391899522047	-0.6346329988736347	3	9		
Arginine biosynthesis	0.04416359255756219	6	1.354935605467629	-2.322771998163172	0	6		
Ascorbate and aldarate metabolism	0.005789060662439372	11	2.237391899522047	-1.6831891648829618	0	11		
Base excision repair	7.732704176960667e-7	16	6.11166860391364	1.791668740653238	16	0		
Biosynthesis of amino acids	0.020187504783262724	13	1.6949173574223149	-1.09719478091244	3	10		
Biosynthesis of cofactors	0.02313311006710795	23	1.6357659757817062	-1.1085709812736362	4	19		
Carbon metabolism	0.02157910254254789	17	1.665966621234387	-0.5795982515139446	5	12		
Cell cycle	9.832412039157498e-27	63	26.007339930103	2.012092412232806	58	5		
Cellular senescence	3.4444801480432776e-4	29	3.46287631392246	1.0949062369342217	20	9		
Cytokine-cytokine receptor interaction	0.01688770999920037	25	1.7724292374709123	0.6883443224800841	16	9		
Cytosolic DNA-sensing pathway	8.82959412009705e-4	14	3.0540592596674525	1.0607063889397859	11	3		
D-Amino acid metabolism	0.016761360382884068	4	1.7756907361351162	-1.5994780642912905	0	4		
DNA replication	5.2875496132475456e-27	30	26.276745544598736	1.9925419885858424	30	0		
Drug metabolism - cytochrome P450	0.004719731800104305	13	2.326082679553226	-1.3537693647439195	1	12		
Drug metabolism - other enzymes	0.0013040878573113911	18	2.884693148895351	-0.39728248196194876	6	12		
Ether lipid metabolism	0.07141413213501882	8	1.1462158372302584	0.09944713772489663	3	5		
Fanconi anemia pathway	4.422559085720407e-10	20	9.354326356172695	2.0777261815297625	20	0		
Folate transport and metabolism	0.0393513365447146	6	1.4050405125009302	-1.1214608752370316	1	5		
FoxO signaling pathway	1.1799840549095623e-6	33	5.928123861263009	-0.24999329874717302	9	24		
Fructose and mannose metabolism	0.07164009587802073	7	1.1448438415937001	0.13969384768748064	3	4		
