Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
DNA replication	5.2875496132475456e-27	30	26.276745544598736	1.9925419885858424	30	0		
Cell cycle	9.832412039157498e-27	63	26.007339930103	2.012092412232806	58	5		
Mismatch repair	4.971198470809866e-15	17	14.303538897682387	1.7484830299807415	17	0		
Homologous recombination	7.108707516391987e-15	22	14.148209354196315	1.8889854895910185	22	0		
Fanconi anemia pathway	4.422559085720407e-10	20	9.354326356172695	2.0777261815297625	20	0		
PPAR signaling pathway	3.1498562171450256e-9	26	8.50170927018681	-1.2684026775127755	3	23		
Base excision repair	7.732704176960667e-7	16	6.11166860391364	1.791668740653238	16	0		
FoxO signaling pathway	1.1799840549095623e-6	33	5.928123861263009	-0.24999329874717302	9	24		
Nucleotide excision repair	2.3728638374607167e-6	17	5.624727182278273	1.7753273074914857	17	0		
Apoptosis	3.960966650838445e-6	34	5.402198814101087	0.47390018128108746	20	14		
p53 signaling pathway	3.960966650838445e-6	21	5.402198814101087	0.4953632772655215	11	10		
Glycerophospholipid metabolism	5.1870270370198004e-6	24	5.2850814882705555	-0.7477054401938357	4	20		
ABC transporters	1.8814260559772085e-5	14	4.7255128457002815	-0.8949897502917635	4	10		
Proteasome	2.3452825314354644e-5	15	4.629804831220852	1.3885306452931918	15	0		
Primary bile acid biosynthesis	5.5777500234162854e-5	10	4.253540953297579	-1.5858237411720906	0	10		
Pyrimidine metabolism	3.05575590909703e-4	15	3.514881339744912	0.9782894915069851	10	5		
Progesterone-mediated oocyte maturation	3.3699151456162516e-4	20	3.472381034515779	1.9280834843829895	17	3		
Cellular senescence	3.4444801480432776e-4	29	3.46287631392246	1.0949062369342217	20	9		
Cytosolic DNA-sensing pathway	8.82959412009705e-4	14	3.0540592596674525	1.0607063889397859	11	3		
Arachidonic acid metabolism	0.0010346971097827521	13	2.98518676402511	-0.11565164520057016	5	8		
