gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
42sp43	50.905531287075185	0.6847679256915833	2.4853531913096316	0.27552137381759884	0.7829157070941629	0.8814330997455722
a1cf	11037.242562329417	-1.2198532399633089	0.2694434157675487	-4.527307659340569	5.97399337168425e-6	7.549822071385122e-5
a2m2a	396.15509696560036	-0.40694078926497984	0.38721367736986967	-1.0509463199469236	0.2932832447923686	0.4698642901895252
a2m2b	682.7470377694865	-1.736435662165238	1.2319318263855028	-1.4095225279307486	0.1586807168947236	0.3045362094445488
a2m2c	637.5604709957114	-1.9790198569841286	1.1409219946637377	-1.7345794596302813	0.08281532028408581	0.1877337662725796
a2m2d	4878.544515688093	-0.49329296120142124	1.2704583188348562	-0.38827953179433916	0.6978091826613071	0.8251463321911734
a2m2e	1632.9553326799307	-1.623948052174434	1.1822274403205133	-1.3736342067429648	0.16955527182665306	0.3195088678348107
a2m2f	956.4395521952239	-0.11600240556145817	1.3003871379354612	-0.08920605424137579	0.9289181539741322	0.9632133593162818
a2m2h	3424.4590304856956	-0.8116625373757437	1.2358204449045207	-0.6567803119962565	0.5113221852944381	0.6787407201403441
a2m3a	58.93307434917669	0.8312182809792485	2.4282769661500785	0.3423078555561588	0.7321192244032658	0.8485131156218
a2m3b	79.31094634301962	0.9212062697529095	2.0245249349820384	0.4550234249207123	NA	NA
a2m3d	30.55664107738387	0.7049041236207152	1.9362136536982422	0.3640631922382746	0.7158108218053238	0.8368673626274179
a2m3f	84.59068694222583	1.7625985763331349	2.317498781652217	0.760560734826589	0.4469194799684798	0.6220072562270885
a2m3g	114.91084324530877	1.421025610876842	1.8637329695686449	0.7624620233046228	0.44578430068607544	0.6211412113857351
a2m3h	228.11189470342438	0.4485470951269097	2.571467802423868	0.1744323202118684	0.8615257157991631	0.927165557319564
aaas	231.08782331787188	1.7050878317794502	0.2007074808901573	8.495387537211961	1.972735843695773e-17	7.252270145386586e-15
aacs	3103.7479296422084	-1.5600605839240447	0.5457583234452753	-2.8585190860226546	0.004256235035147874	0.018177264381490466
aadac	81.3986481708314	-1.4048227231993684	0.3125022374428083	-4.495400527992917	6.94391143750486e-6	8.544788091088617e-5
aadacl4	35.53559387256854	-1.8042369085086918	0.835479093793325	-2.1595237055147805	0.030809560263950982	0.0886356088812128
aadat	299.09977051575794	0.2946107877889192	0.24227844966036519	1.2160007966119786	0.2239846185508546	0.38965449907946964
aagab	310.2632268271566	0.42468573976004226	0.14590878281286634	2.9106249231392614	0.00360706739433067	0.015955886645269767
aak1a	136.99836275483062	0.42308763554948836	0.29527789599382265	1.4328456050714327	0.15190196506077797	0.29513078092735334
aak1b	146.00830374656854	-0.12479884302126491	0.1995922289886487	-0.6252690480668089	0.531794490796907	0.6963524476552553
aamdc	381.13818552895316	-0.3751604054806818	0.25168222777426424	-1.4906114301291313	0.1360635416352081	0.27245794491236547
aamp	1126.3248322815864	-0.23588079355618133	0.17922929429108828	-1.3160839275140186	0.18814587488500964	0.3443291960403319
aar2	264.6725329669018	0.16837886986632697	0.1981585655741884	0.8497178478176244	0.39548197314017125	0.5733249335283928
aars1	3107.974703168837	-0.4999393388478946	0.20232728866507765	-2.47094369793819	0.013475703300559062	0.04606081750765556
aars2	122.93931788441982	0.6915874088546666	0.2050768858142492	3.3723323138477928	7.453445768577804e-4	0.004392902606290044
aarsd1	226.73199795025334	0.9305958137265523	0.24615163740646642	3.7805794165401942	1.564637989647229e-4	0.0011886052506593174
aasdh	19.896137682634922	-0.5672063226419646	0.47014803258120275	-1.206441978557037	0.22764711822587574	0.3940613153044735
aasdhppt	68.48466180847652	-0.6870430804764446	0.24033899737194053	-2.8586417018841095	0.004254590390883312	0.018177264381490466
aass	255.9890191228328	-0.39186299913678185	0.391704332092744	-1.0004050683922492	0.31711451818086217	0.4959687446470721
aatf	280.49630777990404	1.1724196169599088	0.2721678976995061	4.307707216279962	1.6495553503783074e-5	1.7714864892143042e-4
aatka	380.1177446277375	-0.13331424032272898	0.3222379610314142	-0.4137136416082663	0.6790838353787432	0.8118901126386037
aatkb	50.49867706721373	0.12539870594031916	0.4108832359457843	0.30519304505493483	0.760219129132699	0.8679290672533859
abat	13941.002930007777	-1.2493159642002774	0.20363812886699964	-6.13498057142448	8.516960223768786e-10	3.622699589395207e-8
abca12	175.06183340817861	1.648330833411533	0.8211704629136192	2.0072943534318584	0.04471833004210813	0.1180759988163495
abca1a	1330.7917589693795	-1.114481253117737	0.46416515999346997	-2.401044604755376	0.01634834359156234	0.05374694179487286
abca1b	1482.8640090816987	-1.3101916280557815	0.46292751444950914	-2.830230623932124	0.004651446188588643	0.019542718915198855
abca2	969.4415400068588	0.03701636832692916	0.25807932867074507	0.14343019457460793	0.8859504376787473	0.9416139215535556
abca3b	1259.8718385340571	-1.0174661877630895	0.2133753522621265	-4.768433546687983	1.8566389448231775e-6	2.7407058083144096e-5
abca5	528.190859986573	-1.189529761881341	0.2060352355110385	-5.773428796928334	7.767443805239504e-9	2.426530586016171e-7
abca7	80.65564577365133	0.2134857947571086	0.29308227414766386	0.728415921358478	0.4663590199634142	0.6389972142420506
abcb10	348.3565620638323	0.2880285305852863	0.2523418319652076	1.1414220477918982	0.25369433401823843	0.4247909926338735
abcb11a	2680.531752691202	-1.877367909894271	0.6565819999879857	-2.859304565048423	0.004245709395264392	0.018152942745650682
abcb11b	725.4427221065592	-3.117464099680162	1.2330463812068084	-2.5282618295582964	0.011462883074956208	0.04038787846382397
abcb4	18558.28632700398	-1.319690255403195	0.26945665249702216	-4.897597603079328	9.701544916235503e-7	1.556708536169449e-5
abcb5	7.82850675543906	-1.0631586823975139	1.5141070193789954	-0.7021687825168157	NA	NA
abcb6a	497.2018983753009	-0.6653348327696852	0.24038893154988797	-2.767743208807466	0.005644591169144133	0.022911119558196028
abcb6b	83.39089197332527	0.7116035534975776	0.32079159272984303	2.2182737005107853	0.026536176234353084	0.0787743706036953
abcb7	878.1597590537308	0.3533263270723233	0.15800498314204237	2.2361720500592828	0.025340503305568318	0.07592562095062363
abcb8	334.95060606504904	0.45064570502469997	0.1458677187935788	3.0894135368115303	0.0020055207210179127	0.009881246772576964
abcb9	390.7813770538679	-0.139677717099887	0.2656377070658882	-0.5258203688124805	0.599013020854946	0.7516915663027793
abcc1	674.2345188927226	-0.6510330387188509	0.2195283362834498	-2.965599110076853	0.0030209398999501945	0.013753226386615358
abcc10	200.48580883715215	-0.3928645106530206	0.207306309540737	-1.8950919126550763	0.05808022590215525	0.14357802950222284
abcc12	4054.8152156509595	-2.139979577021359	0.3123787249703768	-6.850593225336635	7.354436541792122e-12	5.69194680773964e-10
abcc2	13952.948628842903	-2.341831253580927	0.44707429855765907	-5.238125432698971	1.6221580304393399e-7	3.414659240557739e-6
abcc3	583.7515422914158	0.483816784551903	0.19100163998570685	2.533050420866063	0.011307468665956536	0.03997713505513433
abcc4	4708.051139175215	-0.9119514779131519	0.28213979823006524	-3.232268129608285	0.0012281175994905038	0.006630804358959088
abcc5	2296.2754253376534	-0.7029909089236758	0.2540604790909118	-2.7670218974597813	0.005657095518917681	0.022952823304682363
abcc6a	80.0396965632188	1.0098491268371448	0.7176564019459905	1.407148496270426	0.15938336017094545	0.3054858785852753
abcc6b.2	18.535182039372305	-0.7347609194112599	0.7509209439340545	-0.9784797259240997	0.3278371138097271	0.507114183034101
abcc8	81.1733874317535	0.10160611098227136	0.31964543899061815	0.317871299221803	0.7505825642192717	0.8621941328859585
abcc8b	20.837990758740126	-0.4396194377732656	0.6932887066506085	-0.6341073113640338	0.5260107915907437	0.6910021416530536
abcc9	173.36852926259186	0.4593393532757202	0.2813150329947923	1.6328290329376867	0.10250495909423121	0.22090124493592986
abcd1	315.1907224040749	-1.6464160242097956	0.29688052392599934	-5.545719208647659	2.9274830887846248e-8	7.776528303072137e-7
abcd3a	6741.981366811998	-1.12887735748507	0.22934225516579154	-4.922238846343445	8.555969971001266e-7	1.4035199505418572e-5
abcd3b	444.82461654974105	-0.22622139842720565	0.30774306229713344	-0.7350982886131917	0.462279636533304	0.635305415695567
abcd4	281.62715939866865	-0.26385975377312326	0.23709728704229854	-1.1128754658675206	0.26576191834233776	0.4385412482296976
abce1	2984.134542575961	0.6100533695383701	0.24829380901503187	2.4569817989357805	0.014010978508212589	0.047457537452359956
abcf1	2846.333248904313	0.8948960798382861	0.20324851558456591	4.402964898732288	1.0678144788974206e-5	1.2308564768791265e-4
abcf2a	1679.4441105636781	0.7919197692012718	0.3426899613466468	2.3108928142782923	0.020838776069850545	0.06493232676706723
abcf2b	499.7853977300491	-1.4405767239619993	0.3117277559748992	-4.621265499623963	3.8140628803392033e-6	5.1119864920275507e-5
abcf3	911.8148028372384	0.8767211764996538	0.23577162779736766	3.7185185710858555	2.0039456196819787e-4	0.0014629513642692516
abcg2a	12558.495950721977	-1.467268150531253	0.3085877266683788	-4.754784535251592	1.986581724508889e-6	2.9150219502825727e-5
abcg2b	1118.5134122258994	-1.8569984412765836	0.4697601176727861	-3.9530781167125086	7.715223546794328e-5	6.522928425373915e-4
abcg2c	546.1771604545626	-2.916902605294567	0.4921271063865482	-5.927132579044415	3.0827008631110443e-9	1.1035176470763541e-7
abcg4a	14.837459204024288	-2.2078196502780565	0.7624336444428471	-2.8957531797949887	0.003782497734032298	0.01657519813761663
abcg4b	32.06008736621001	1.0366095794556198	0.6592813471897958	1.5723326374607678	0.11587342768989468	0.24168440468215266
abcg5	2270.9874363905733	-0.9710239092828544	0.3959097869916383	-2.4526393162979896	0.014181245315169283	0.047931258792216394
abcg8	2805.1274874666287	-1.5961234954249064	0.3911377700700811	-4.0807194230793025	4.489652382106583e-5	4.113416715194848e-4
abch1	94.62293721361232	-0.8729457565868626	0.5924430545209575	-1.473467787199761	0.140624943615316	0.2789779012490751
abhd10a	133.48030709599746	0.24737883995132634	0.21410270956005883	1.1554213417459487	0.2479179264981578	0.41813930993900095
abhd10b	217.73276982516296	0.7661816196734291	0.2794720296534462	2.741532383843627	0.00611533322605814	0.024417448627784895
abhd11	254.310446189521	0.3022381524940703	0.23404379087369354	1.2913743678728022	0.19657389430815134	0.35564344512891394
abhd12	195.48576120992092	-0.34284562908216204	0.20733014032549585	-1.6536217481159037	0.09820439101635167	0.2136687590206755
abhd13	114.30000531155551	-0.15040127734881648	0.2215707652962815	-0.6787956757187794	0.49726733410605195	0.6660535203149831
abhd14a	71.32114929545757	0.48392669876475475	0.5388993845840362	0.8979908172251606	0.36919044508093185	0.548913298526912
abhd14b	2168.5541496047117	-0.4624616968897172	0.25319418827486545	-1.8265099212611973	0.06777348819800222	0.1614689042393556
abhd15a	95.97818464547667	-0.30392243904439437	0.3487966174561837	-0.8713457179170424	0.38356541491393126	0.5626664669255452
abhd16a	857.4805457438171	-0.012695888785677257	0.1141012010500648	-0.11126866911862403	0.9114032995185234	0.9536013278709007
abhd17aa	168.80653682702285	0.3778633027836797	0.19722715696390933	1.9158786680316293	0.055380541336929476	0.13846480501619712
abhd17ab	659.7398066783809	-0.04575778646256919	0.10741671389035966	-0.4259838604751418	0.6701196064960286	0.8051688756455602
abhd17b	89.7949244814623	0.003424143144334034	0.28927649626557117	0.011836921383306886	0.9905557237251909	0.9952936055605693
abhd17c	334.97957368142323	0.2494226762796957	0.1665560954159555	1.4975295599767156	0.1342555199382115	0.26972951975875475
abhd18	1184.072370177362	-0.36466135493163854	0.1980186384299012	-1.8415506632257197	0.0655409033910403	0.15744347469210576
abhd2a	576.2630431658919	-1.4473038629330612	0.27741431001114003	-5.217120424951915	1.817261177804367e-7	3.7687809385950617e-6
abhd3	360.2493252304504	-0.05424450054588188	0.4227533734245527	-0.12831240140432068	0.8979017513300578	0.9481293992453734
abhd4	1105.110942356543	-1.0617690629973942	0.22145660655632718	-4.79447906074247	1.6309809828755997e-6	2.4366477136763405e-5
abhd5a	274.1468828569606	-0.592448454634971	0.4125226391390845	-1.436159857484145	0.1509568587218548	0.29371031570804507
abhd6a	819.3593032712462	-1.4749558729623107	0.3494334294009279	-4.220992466264574	2.4322906657650973e-5	2.4582016659845877e-4
abhd8b	59.11510633991079	0.9914712694970466	0.3587410454459515	2.763751965612263	0.005714095651296095	0.023152152563123935
abi1a	1447.6422797767002	0.06412278569497014	0.13735533757842858	0.4668386888012753	0.6406152934053712	0.7835747754343994
abi2a	168.78642755807394	-0.10740059293334482	0.2653930488418992	-0.40468502623565644	0.6857090501619255	0.8163240742313977
abi2b	545.2247273365062	0.26759617370354855	0.12085293916320552	2.2142297535864977	0.02681297808497408	0.07940143553443059
abi3a	373.1293348285879	0.8338559792333887	0.3110606381138781	2.680686261976089	0.007347136332004979	0.028156272462208955
abi3bpa	62.76268616967415	-0.8535324799096549	0.3934839937034934	-2.16916696375921	0.030070010272196957	0.08695831132479746
abi3bpb	74.60667959420658	1.1979645283956524	0.574201480423834	2.0863138971905846	0.03695019863816049	0.1020380602768357
abitram	57.074037561755155	0.43040076526216503	0.2898200176356955	1.4850622423299273	0.1375273368914909	0.27477438709094754
abl1	832.1283550401735	-0.06525368842119048	0.11162530556649744	-0.5845779152856835	0.5588315609987697	0.7185058566457712
abl2	158.1566246230819	-0.32034972654905136	0.2695041968297897	-1.1886632205262988	0.23457221915122198	0.40276382616065115
ablim1a	73.66792686740942	-0.27069249499776116	0.4087571553490647	-0.6622330433985895	0.5078218804040178	0.6753462100883775
ablim1b	1897.0015022916145	-0.24268738421439023	0.2809741244407563	-0.8637357076827945	0.38773309323393834	0.566278461294487
ablim2	146.71176331509855	-0.3939836772314258	0.47423560772395784	-0.8307762445808479	0.4061000449318716	0.5840779654012643
ablim3	16.77089350253609	-0.6539316924050111	0.5198485854120357	-1.25792723257427	0.208418073924877	0.3704950252906867
abr	960.1648796294883	0.3027708607825201	0.13147343934226546	2.302905151772254	0.021284180241611723	0.06607017771924918
abracl	1917.4990398750253	1.0948133070635244	0.2062709651868589	5.3076462122128705	1.1104991884040737e-7	2.4662186398786046e-6
abraxas1	123.86660866199117	0.9111811713256671	0.27377204486252277	3.3282476732904756	8.739413304777122e-4	0.005025650885627
abraxas2	229.51734032811515	0.40963815859725744	0.16402000611291892	2.497488985064686	0.012507635084762535	0.04341646029357241
abt1	195.81831200129645	1.1737239313523133	0.3583867959418957	3.2750200192715972	0.001056544861696142	0.00586440794492814
abtb1	302.6494881679414	-0.697419018839154	0.3250029206097222	-2.1458853893705325	0.031882123758757146	0.09104692493016138
abtb2b	42.581971039433355	1.2098383116446203	0.4388684279947996	2.756722139189644	0.005838394070036415	0.02355379555552414
acaa1	2162.439273726389	-0.6676641784392785	0.453635563151373	-1.4718073993164567	0.14107289493261083	0.27950341082788976
acaa2	3303.216280168038	-0.35838289215307423	0.25451045227303154	-1.4081264205550634	0.15909363889952402	0.3051579934803411
acaca	2801.385815305744	-1.5783664282835888	0.673331939719017	-2.3441134085251396	0.019072371128746032	0.060705458322123464
acacb	4347.983788233095	-1.5118254820184587	0.33165464544326595	-4.558433004904425	5.153669877919636e-6	6.67706744976284e-5
acad11	2733.775504590903	-0.8490909166439543	0.3788331951933078	-2.2413318775053157	0.02500458555583816	0.07509590376439222
acad8	360.92167497620056	-0.31004588033340946	0.24945191590643706	-1.2429083946170196	0.2139015919285077	0.37766723329083707
acad9	548.4589582576826	0.16721722543538295	0.20432944645628756	0.8183706672506252	0.4131455656723997	0.5909419690472932
acadl	2889.0667803070933	-0.8447754617955248	0.2203466752550979	-3.8338470994287452	1.2615457562404876e-4	9.943124993768346e-4
acadm	8294.415266108452	-0.69130434113122885	0.198051162116404	-3.490534131402454	4.820560336203702e-4	0.0030402360782283287
acads	719.6788311495358	-0.4270098689950146	0.2063062386911924	-2.0697865062344545	0.038472341554673675	0.10523918357508197
acadsb	1226.8137759076437	-0.1967125919068753	0.11056167761920307	-1.7792113519152044	0.0752051179551437	0.17448977384678724
acadvl	3846.0150788468886	-0.6194504320904113	0.21737795898453482	-2.8496469236537525	0.004376778575068633	0.018593631969652896
acana	40.131962740400795	-0.9067223997840752	0.3636871978340327	-2.493138073553677	0.01266195975169092	0.0438398529108747
acap1	461.1344349157187	0.27534719782632106	0.20892905957914293	1.3178980386020391	0.18753778239543836	0.3434605752312863
acap2b	106.63296904021205	-1.0071941935212492	0.27265586583449875	-3.69401256209398	2.2074288948381577e-4	0.001577928425626151
acap3a	96.02280013446037	-0.05123639566231384	0.2853302336188902	-0.17956875797027963	0.8574911334748769	0.9248307818968614
acap3b	27.0504937429837	-0.2730078208385031	0.8016606589186485	-0.3405528483919374	0.7334402311468595	0.8495658604974061
acat1	1002.3254779061696	-0.3336853906349104	0.4131388535732382	-0.8076833920336111	0.4192728666784258	0.5963676893338448
acat2	2057.858215562004	-0.5512378764033932	0.4291977176500056	-1.284344845591436	0.19902132204384074	0.35874721626097095
acbd3	716.6797400321325	0.5402057859852059	0.18203120248665905	2.9676548778762104	0.0030008105923536765	0.013679735975373149
acbd4	227.41630926932518	0.3080588044919841	0.602967710647264	0.5109043138666483	0.6094180603486374	0.759494497753944
acbd5a	1271.6591084677832	-1.5201214179650755	0.3254511213739144	-4.6708132746563535	3.0000956188082044e-6	4.143936637985952e-5
acbd6	280.01685728417095	0.41599138737429503	0.1418356129337303	2.9329121140306156	0.003357989325179686	0.015041541827126675
acbd7	1416.5108590257548	-0.704342693517831	0.378566285225955	-1.860553147508711	0.06280730646581806	0.15238821664252167
accs	235.91478443267758	-0.10750455310916163	0.22086802748741186	-0.4867366016355117	0.6264450034677701	0.7730984784781904
acd	64.32953151449364	1.4696819123666347	0.4552623128958307	3.228209036276884	0.0012456791061131282	0.006708194398595373
ace	16792.989927017574	-3.0436418946111483	0.39638283247127526	-7.678541160915975	1.6091045797387115e-14	2.6083965341008544e-12
ace2	46538.615423733696	-1.7075200198072258	0.29079652790778676	-5.871872102780712	4.309011317213693e-9	1.4590397366361563e-7
acer2	378.9128575397266	-1.6690025406065516	0.5299045527186957	-3.149628611499316	0.0016347813510122658	0.00837195116250983
acer3	259.9281475746281	-0.9458064007864393	0.32714889800903424	-2.8910578838640038	0.003839473957794009	0.016767125083906376
ache	939.8578390923568	-0.9411734608432226	0.3017512255997159	-3.1190377403527894	0.0018144271910600649	0.009121761314372052
acin1a	3521.909173005005	0.045521653003397104	0.18713473301959258	0.24325603413574268	0.8078070612044523	0.8964019507548805
acin1b	2566.6631435515555	0.3408097765344183	0.10023099181028051	3.4002434813726152	6.73258734831715e-4	0.004025668769671948
ackr3b	322.5890353464427	0.2625557297362745	0.28208517409881956	0.930767561872275	0.35197381266489036	0.5320961140646275
ackr4a	71.02300180465006	0.08367393067743663	0.4105293512089431	0.20381960615247197	0.8384944709462264	0.9140633133899901
ackr4b	118.21245626364978	-1.9176914608895816	0.4713950363392827	-4.068119757437028	4.7394022983912286e-5	4.3151150405697247e-4
aclya	3061.605372481666	-0.9840421444091008	0.3274078083961244	-3.0055549048437085	0.0026509673116305275	0.012396326404652424
acmsd	852.0228399794564	-0.9710320902390652	0.3725093298216515	-2.6067322681662013	0.009141080359557997	0.0336589914795601
aco1	2029.4615206317112	-1.1464490014108328	0.32232460162851584	-3.5568150728132544	3.7537820409796146e-4	0.002467404561866134
aco2	8398.239408160136	0.28082421246389727	0.20909639677181555	1.3430370718934839	0.17925997010483014	0.3324707211304629
acod1	224.91807390510476	3.5823509161662694	0.6764898364022597	5.295498503300653	1.1869216622273291e-7	2.607807498428391e-6
acot11a	861.8828746218877	-0.755668928046327	0.24764174123933325	-3.05146024359444	0.002277312044820207	0.010974490418238203
acot12	1241.9074756882708	-3.251872767134175	0.5143518655144054	-6.322272718661114	2.5774396432565307e-10	1.2681454300982799e-8
acot13	30.6421598239214	0.46471218585749696	0.38004617065719637	1.2227782352178198	0.22141346814545101	0.38642243715754493
acot14	95.45864531145386	-1.5915287464712178	0.48980993851308363	-3.2492781818650367	0.0011569827304108284	0.006304606530166152
acot16	477.04340537807076	-1.5133427485888131	0.34621306853969686	-4.371131208223854	1.2360448427966176e-5	1.3996950043264008e-4
acot17	145.60336662279494	-3.2542002031258437	0.730241573097979	-4.456333798307614	8.337318234326356e-6	9.990708410365348e-5
acot18	834.8573678012802	-0.13826063314085654	0.2293995394994668	-0.6027066725701858	0.5467038418600318	0.708484954826418
acot19	1346.9147171418385	1.0681496961021781	0.34454320572899566	3.100190856592724	0.0019339598073569036	0.009615494091303325
acot20	651.0702476893321	-0.5435707776739943	0.2650548299719094	-2.050786162740751	0.04028777567179393	0.10904607385685271
acot22	336.32864680324906	-0.5178022219819849	0.8875907143070908	-0.583379494214531	0.5596378588683466	0.7190454097561413
acot7	247.884785463212	-0.045779522206833415	0.33723743369608106	-0.1357486377033992	0.8920199962435326	0.9446996071127941
acot8	261.7344448425656	0.5524510565799244	0.2082568510383405	2.6527389318789667	0.007984159758242399	0.03014855042973886
acot9.1	245.1249992715252	0.21664793742129584	0.14306998020958267	1.5142794952786678	0.12995496685019914	0.26336090431634374
acox1	5968.234537554988	-0.8416791134914595	0.4986849156213143	-1.687797419023206	0.09145012322578054	0.20247324283213303
acox3	2555.7379526585305	-1.3105826172292359	0.2581976276049193	-5.075889462604287	3.856874747421759e-7	7.1532865247902474e-6
acoxl	325.26937908684044	-0.8680851812932013	0.5057842447787767	-1.7163151882536203	0.08610436993039595	0.19343416234799887
acp1	707.8075510886641	0.7034482516553698	0.19571696186147136	3.5942119935076	3.2537483769870594e-4	0.002191914850688239
acp2	1692.1445965741862	-1.8651903035106077	0.2158149790995978	-8.642543308589481	5.4975305092687736e-18	2.5150591243181387e-15
acp5a	319.01424165520046	-0.004635713568744558	0.7875755285952106	-0.005886055877095657	0.9953036340097697	0.9980184069630866
acp5b	777.54213345946755	0.1664869503577632	0.45361945034415496	0.3670189852561476	0.71360485655623	0.8355976759946933
acp6	671.9296137629894	0.9598700046105426	0.18482793244798365	5.193316788741766	2.0658022817894672e-7	4.190016903960567e-6
acp7	1255.7977387386245	-2.253775773299635	0.44288656879493477	-5.088832970103407	3.602737576021948e-7	6.785869943052501e-6
acsbg1	278.6354038176231	-1.564115372956614	1.3071925235803554	-1.1965455315430933	0.23148374156531765	0.3986578373435833
acsbg2	3380.4319506268766	-2.397970943784967	0.37161645513069547	-6.452811522949418	1.0979387665988435e-10	6.07614660966946e-9
acsf2	2050.5042296713154	-1.0238018598261458	0.2969139437659418	-3.448143414353123	5.644542411884106e-4	0.0034716529516418703
acsf3	258.15735560014645	0.1889399326882756	0.25897962863860563	0.7295551919720016	0.4656621197915734	0.6384247509422697
acsl1a	192.112187243372	-0.3684636891363329	0.4231205689312344	-0.8708243375334835	0.38385007447964714	0.5628835019098579
acsl1b	2147.7168211163694	-1.0726581886221918	0.3697211732736981	-2.9012625355597956	0.0037166235196052846	0.01634218889323238
acsl2	9.44621435631271	2.768708293178713	1.6629068845233355	1.6649809553060757	0.09591655544145342	0.20955472003323797
acsl3a	21.361441939956475	0.3197665517909082	0.681868708471552	0.46895619027258684	0.6391009509273489	0.7823732697116805
acsl3b	474.5688849546969	0.12327861119125619	0.2058291074003337	0.5989367235192914	0.5492150812183525	0.7105198071240929
acsl4a	9312.369924411227	-0.9486789377896203	0.2552669744791422	-3.7164186229940084	2.0206668237061126e-4	0.0014709854278514053
acsl4b	227.23899860462882	0.24828453417145963	0.37613193592442346	0.660099583305119	0.509189926086676	0.6766083397887045
acsl5	10470.892300119656	-0.9466988092933556	0.3444127497054133	-2.7487333442304207	0.005982603459504871	0.024017912913577764
acsl6	70.281360093602	0.6841898720213769	0.3135519747245882	2.1820620731932645	0.029104951839581134	0.08483415595659874
acsm3	274.4484484092787	-1.639927654022627	0.34736423508657466	-4.7210607436712735	2.346178522589111e-6	3.370605529975019e-5
acss1	1257.97423212456	-1.043418688292386	0.2553094889916305	-4.086877821946489	4.3721721465642996e-5	4.027288947710033e-4
acss2	1345.730843773223	0.3416194473045145	0.17140640120900694	1.9930378614504354	0.04625730134860842	0.12094222286814853
acss2l	933.3267764790459	-2.56472700358672	0.6640237078446016	-3.8624027625636086	1.1227725997850896e-4	9.011508581588943e-4
acss3	292.52817936920377	-0.5420192878541781	0.3332344660834616	-1.6265402982608181	0.10383476794082973	0.22297343982453965
acta1a	196.56506731817734	1.3371021775853167	0.5147701341020848	2.597474268622107	0.009391215621529702	0.03435269296382942
acta1b	225.74778404529445	-0.4282935203918373	0.49992353036993104	-0.856718066610929	0.39160071619760195	0.569824988999154
acta2	11793.22578643926	-0.3596495174743728	0.3281100988531385	-1.0961244982445701	0.27302429499854525	0.44715601918337716
actb1	75849.57365734619	1.3019892986607342	0.2981395592898554	4.367046432086934	1.2593796252016263e-5	1.422988383316459e-4
actb2	166016.02763901654	0.10063474268549451	0.15354485507526747	0.6554094087761098	0.5122041953494763	0.6793858494723064
actc1a	252.971889577054	-0.18480417888995648	0.43820030355007117	-0.42173448396262864	0.6732188312487293	0.8078547492957326
actc1b	202.35199392411153	0.14063463373684534	0.9558583223514644	0.14712916176832186	0.8830300725846334	0.940111708346685
actc2	30.19945712590822	0.8455034078063614	0.8258906688518728	1.0237473792769127	0.305954610452807	0.4838073250934739
acte1	39.46255509652409	-0.4496225969012386	1.1147658047780447	-0.4033336822623122	0.6867027664252651	0.8171443187009843
actl6a	618.8936062085985	1.4147407813217845	0.1846593993871907	7.661352663426463	1.8398486795692728e-14	2.9136126743302015e-12
actmap	22.68804012764967	-0.044767637958222944	0.2820331733768104	-0.15873181662361097	0.8738801699260934	0.9348665068732325
actn1	960.4380854051363	0.32222999744458186	0.23325343565519976	1.3814587405302323	0.167137955549495	0.3160530073387943
actn2b	21.65314016816964	0.2885408258833569	0.6060508663273512	0.4761000139013166	0.6340031271041409	0.7787791651777316
actn3b	56.538167566161256	0.27873107041717243	0.897174290251124	0.31067661372591726	0.7560464776119684	0.8652840134866352
actn4	8725.972839401336	0.41183131067463596	0.14267229725011094	2.886554142691606	0.0038948572778275663	0.016970037413467958
actr10	758.792067048894	-0.028190314432718633	0.10167763859665331	-0.27725186011200803	0.7815867211344332	0.8805997232717137
actr1b	1693.8487996595663	0.22858964474920498	0.11409785992212684	2.003452517910679	0.045128739249588844	0.11883670439131307
actr2a	1999.0735128553579	0.7936259304182449	0.1756860210989426	4.517296967931739	6.263403548415924e-6	7.855305234777078e-5
actr2b	590.260488101391	0.438637943609141	0.2153184774623257	2.0371588577942155	0.04163412525976045	0.11186658009954169
actr3	5057.688043565081	0.33690578315434766	0.14897768755032573	2.261451286391719	0.0237313259800335	0.07210106374718855
actr3b	19.71414214794218	-0.19737746395845815	0.6838834625972112	-0.28861271657143156	0.7728777630299131	0.8754943604873348
actr5	78.72477087173002	-0.030227554741630344	0.3487766067131059	-0.08666738009322598	0.9309359057384329	0.9641401293609577
actr6	209.49866198225692	0.6610267776995663	0.18069830636437992	3.6581791550751963	2.5401346957277187e-4	0.001778094287009403
actr8	162.812798022115	0.4224261586961352	0.30354242796726316	1.3916544106370974	0.1640270738044215	0.31180289643689985
acvr1ba	152.54154554550115	0.0012095693186564712	0.3529382020314313	0.0034271419520314544	0.9972655417016351	0.9991583466523049
acvr1bb	496.177361143119	-0.6474258929884694	0.19622214250258949	-3.2994537962499595	9.687317288203848e-4	0.005456437784192958
acvr1c	11.177708569666775	-1.8766755569847091	1.100804064827037	-1.7048225174201008	0.08822753059988771	0.19689519198989736
acvr1l	697.8095156662553	-0.6110121767087516	0.15443581249309224	-3.9564150752668303	7.608291841195207e-5	6.45797339659121e-4
