gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
pcna	2488.793158103774	2.6436036303885566	0.22621043030900187	11.686479826670293	1.4945362179110822e-31	3.076801711813545e-27
dut	514.0011766598847	3.2245113900228772	0.278841075512718	11.563975587505604	6.2735540082553e-31	6.457682818397594e-27
ercc6l	253.41568069448803	3.5606535555659247	0.3212050523227536	11.085297475296574	1.4785812583705023e-28	1.0146517455357843e-24
zgc:110540	175.22375494465146	3.7387697947856213	0.33935254595378506	11.017361853813197	3.1516070231746668e-28	1.6220533446524217e-24
lig1	707.6427406382775	2.5688409007477238	0.23537733974889033	10.913713713853095	9.91224900410057e-28	4.081269404948368e-24
rfc4	295.25625966539917	2.3188299972080864	0.21689578474675958	10.69098691759029	1.1217094911747006e-26	3.84877221580226e-23
smc2	412.95341285791386	3.113888765278054	0.29756164886046765	10.46468446858962	1.2549393917255852e-25	3.6907767510649463e-22
nup93	794.0257703046142	1.9426680158172533	0.18660156303807066	10.410781046999633	2.213976802798371e-25	5.697392554901259e-22
mki67	1235.533431814617	3.0702963060275255	0.30348599366321405	10.116764431094996	4.655517627763974e-24	1.064923793364188e-20
gbp1	4431.219195926025	4.11200213635323	0.41052702354766485	10.016398191813067	1.2912303420791501e-23	2.658255905238346e-20
rpa1	796.3434588915637	1.8026554712153449	0.1803838418992367	9.993442052433483	1.6282741247691996e-23	3.0473890369657735e-20
vrk1	387.293333876344	2.021474887527093	0.20272118793788244	9.971700087642102	2.0272854247671964e-23	3.477977086640189e-20
hmgn2	7795.811177006787	2.420863494758695	0.24598882042899295	9.841355759732588	7.469735299369358e-23	1.182918773908592e-19
seta	2332.350472384633	1.5014369889826054	0.15299391002181706	9.813704275996994	9.82925916917908e-23	1.4453925608277837e-19
cirbpa	6873.755827001999	1.5651419844568868	0.16024848611331385	9.766968926933599	1.560509118387777e-22	2.007887576265573e-19
hmga1a	6793.449557130627	1.6756708969612968	0.17150769094125096	9.770237636371006	1.5109724618221804e-22	2.007887576265573e-19
banf1	2225.0059426949374	1.96909468113103	0.20473838243419862	9.617613745502176	6.7376025211581235e-22	8.159236653122488e-19
anxa3b	3082.231645197847	2.71908825736911	0.28325899626265055	9.599300616203019	8.048870693559008e-22	8.72116320885786e-19
lsm8	257.07611401943126	1.658161416901856	0.17266476646694465	9.603357134353743	7.738207255190719e-22	8.72116320885786e-19
