gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
pcna	2488.793158103774	2.3665546902049686	0.22621868758602315	10.461358057808772	1.2997916027350544e-25	2.6758809725506564e-21
ercc6l	253.41568069448803	3.280955668038466	0.3212582906868191	10.212828005229376	1.7372622105885687e-24	1.2919614455214884e-20
gbp1	4431.219195926025	4.1893989859587135	0.4105230621435774	10.205027128277393	1.8826853531667874e-24	1.2919614455214884e-20
zgc:110540	175.22375494465146	3.319264988707201	0.3395073359482482	9.776710654679825	1.4174230489814912e-22	7.29512207734549e-19
rab40b	382.0982400321585	-2.7031969199913926	0.28006361683942355	-9.65208173234901	4.816782329458671e-22	1.983261956331313e-18
dut	514.0011766598847	2.6858224485565367	0.2789312220292421	9.62897745550681	6.03267895359744e-22	2.069912693628508e-18
anxa3b	3082.231645197847	2.6946998982950827	0.28325486285655604	9.51334028697581	1.846365909279737e-21	5.430162139191706e-18
tapbpl	723.2629053357799	2.2054744164073683	0.23307224421580988	9.462621445242709	3.003179847515529e-21	7.728307940100275e-18
rfc4	295.25625966539917	2.0424298726065104	0.2169697944159082	9.413429542599777	4.802070910260681e-21	1.0984470425504072e-17
rpa1	796.3434588915637	1.6844515808794587	0.1803794826714345	9.338376826081307	9.782221529656418e-21	2.0138659463103665e-17
uhrf1	603.8982277651733	2.540377602779249	0.2750781726511893	9.235111525917235	2.5801708374905626e-20	4.828907002856201e-17
lig1	707.6427406382775	2.1609771155840183	0.23543086186159856	9.178818352431552	4.358476987604186e-20	7.477330478650614e-17
pold2	115.95466670767345	2.969970626858033	0.3317666028036943	8.951987938989022	3.491371147921271e-19	5.5289890632504e-16
pold1	391.5486022506032	2.414878200726197	0.27104613144268846	8.909473040152253	5.127568932458464e-19	7.5400901151801705e-16
smc2	412.95341285791386	2.646357978217411	0.2976462586076727	8.890949916846003	6.058868481082548e-19	8.315595028003094e-16
acp2	1692.1445965741862	-1.9121045885101637	0.21579001819850377	-8.86095012398225	7.933535776864649e-19	1.0207981314894533e-15
klhdc3	782.237058776662	-1.092039167341498	0.12380460553812472	-8.820666748178544	1.1378017272470886e-18	1.3778778916962243e-15
irf10	569.9975627155292	3.0316983751821773	0.34456307569184935	8.798674579668237	1.3844150195670298e-18	1.5833862226570245e-15
mybl2b	197.87381685843252	3.0080974147885224	0.342266914173099	8.788747291148331	1.5123682876810126e-18	1.6386908388678425e-15
dnmt3ba	233.85683669318945	1.9342330294858534	0.22081183953024022	8.759643656792958	1.958685741827407e-18	2.0161731683500414e-15
ncapd3	227.2900400980174	2.950805424934599	0.3393858495045133	8.69454465836637	3.482234216679241e-18	3.413750277084549e-15
nsd2	317.8439814101534	2.883536544798287	0.3336809488992855	8.641597772693403	5.543228211855361e-18	5.187201781703014e-15
rbbp4	1007.976550072733	1.853842525906502	0.21558351911498533	8.599184824131765	8.028430365379003e-18	7.186143301393806e-15
batf2	461.45741450085615	4.775154684471437	0.5580397768098059	8.557014899134925	1.1582756976120539e-17	9.935592411141396e-15
zgc:101715	458.7660148031174	2.4778778020166756	0.29091170725923216	8.517628339407572	1.628538409715907e-17	1.3410688096328552e-14
LOC101885672	1003.782710414203	4.875136677716289	0.5742307407311807	8.489856658507465	2.0689212394342408e-17	1.5211743412940254e-14
skp2	91.91003982873018	5.0724777845365825	0.5972807524416294	8.492618862738762	2.0203200758102005e-17	1.5211743412940254e-14
ube2t	118.99243577608387	3.8936022100181096	0.4582454443414688	8.496761414864674	1.9495357290411635e-17	1.5211743412940254e-14
znf367	285.80251271352864	2.5110583028904947	0.29632315226092	8.474053693514453	2.3699810931644676e-17	1.6824414056888583e-14
gbp2	987.536622476852	2.858222161687279	0.33780663894767365	8.461118972057914	2.6482406021918276e-17	1.8173109759107718e-14
atad5a	233.5613277916492	2.465253134351055	0.29155404105516597	8.455561533049016	2.77747444338484e-17	1.844511818256894e-14
ncapg	256.2219271502464	3.500425681474547	0.4199327855509448	8.335680856359064	7.70534983493804e-17	4.95718865787092e-14
hapstr1b	1687.2927968994825	-0.793959163903816	0.09602635357410111	-8.268138217818901	1.3606709262395992e-16	8.488524957119585e-14
ilf3b	2285.716168970723	1.3834064335093645	0.16759264188046535	8.254577396638169	1.524406668310581e-16	9.230282376620568e-14
seta	2332.350472384633	1.2610240276658702	0.15300496992612675	8.241719391695007	1.6975331532945737e-16	9.984890007678683e-14
nup93	794.0257703046142	1.537397172893866	0.18666706792901086	8.23603857900921	1.7800655493689296e-16	1.0179502629127264e-13
fen1	298.5643487222355	2.4912314061368774	0.3036642784322608	8.203900106388717	2.3271149170583604e-16	1.2948193188508235e-13
chaf1b	204.5337269855895	2.746260959122665	0.3370449996046232	8.148054302375698	3.698262899156212e-16	2.0035825869718142e-13
banf1	2225.0059426949374	1.6659160240253565	0.20475146116145412	8.136283934558689	4.0759526968474014e-16	2.151580465897371e-13
cyp2p6	3100.610690366398	-2.5024407175284478	0.30781159135972297	-8.129780644303219	4.3006796366934097e-16	2.1594656507465177e-13
pclaf	237.27826591885034	3.174079190058462	0.3903940247442056	8.13045023457566	4.276988676836125e-16	2.1594656507465177e-13
LOC137496284	86.84773268285568	4.638986381201595	0.57224632007911	8.10662509906622	5.204513048590102e-16	2.551078812650582e-13
atad2	375.1207366684467	2.6220849834831985	0.3238976597093818	8.095411945352964	5.707088441601622e-16	2.732368133657037e-13
mki67	1235.533431814617	2.443485045021211	0.30352728340071117	8.05029787650215	8.259276976529903e-16	3.8644030708141163e-13
slbp	314.5022507179287	2.6211570305592797	0.32781364292714277	7.995875361239426	1.2865648259099393e-15	5.885891126890649e-13
mcm7	1057.0323581752093	1.8877288940555326	0.23699014345359146	7.965432091589061	1.6464743363197715e-15	7.368688513438073e-13
pola2	153.11698983663402	2.4528371776556086	0.3083873657403382	7.953753785493581	1.809435583018365e-15	7.925712839914698e-13
LOC100534669	97.43917276172645	3.967118484523242	0.49952876452985284	7.941721811069319	1.9939374509022718e-15	8.377385775862259e-13
rrm1	769.321704999759	2.3252355334451735	0.292737167762652	7.943082701853727	1.9721735537045015e-15	8.377385775862259e-13
snapc1a	12.919306169689012	19.77536460147351	2.508603620713698	7.8830168457810865	3.195699661367676e-15	1.315797378571527e-12
plk4	127.9086210895564	3.1104926638369066	0.3982022059101993	7.811339610053216	5.658332251227049e-15	2.284080118745319e-12
haus8	69.83144552132238	2.654032172788927	0.3401092004965422	7.803470676224503	6.022740487906688e-15	2.3844261235487495e-12
wdhd1	185.03772801306198	2.9152786146061587	0.37375625100178467	7.799946106031116	6.1933619818311605e-15	2.405712134338832e-12
tyms	265.0908303956099	2.5318369214373426	0.32532852648846894	7.782400605214317	7.116110865179969e-15	2.7129513774344447e-12
LOC795715	182.25498975588704	6.050935671628535	0.7796676365612119	7.76091681619194	8.431760928942152e-15	3.0997261115023587e-12
zgc:194101	960.9144490669015	3.9423821242230117	0.5078790032747219	7.7624436111813395	8.33084157854872e-15	3.0997261115023587e-12
tmem106ba	841.9967808427003	-1.487619762700738	0.19246863229842376	-7.729154329907508	1.082633604057747e-14	3.910206667848568e-12
adad2	5.992560882819526	19.404157885540204	2.5121372984769157	7.724162965656676	1.1259072246101926e-14	3.996388281560351e-12
ano5a	3327.4699898892363	-2.98054762934613	0.38624755523675613	-7.7166770091765615	1.194017166450522e-14	4.166310407748627e-12
aqr	726.3042552025615	1.1854713141301707	0.1536851038887988	7.71363836919378	1.222806455824833e-14	4.195652751010973e-12
rpa2	405.41534022251494	1.9992599900129644	0.2594456222078508	7.705892175013417	1.2993230341987209e-14	4.385108738532634e-12
vrk1	387.293333876344	1.5626065607853876	0.20286878875290199	7.702547890147222	1.3337960499815723e-14	4.428848271124295e-12
tmc7	865.0957284608578	-1.7238010394900598	0.22386220912816493	-7.700277086532075	1.3577149538810197e-14	4.436710754848976e-12
spint2	2323.3960564689282	-1.4058951063856597	0.1826931593296646	-7.6953899726960335	1.4106327297477481e-14	4.537608751143264e-12
med14	574.0677777183233	1.0792332142021455	0.14044437597883344	7.684417454813556	1.536947348901472e-14	4.8195386514811625e-12
ncapg2	129.4298673773496	2.929695928350012	0.3812851385930089	7.683740150903773	1.545099096506323e-14	4.8195386514811625e-12
foxm1	114.5304972556073	3.123243638734465	0.4067560715624912	7.678419222451929	1.6106366687999183e-14	4.895345134792359e-12
lgals9l1	2010.9091110912634	2.3761666006320477	0.3094806237652121	7.677917188233178	1.6169595820949163e-14	4.895345134792359e-12
asf1bb	306.3546050239009	1.6771112161137411	0.21931100104423407	7.647182348939601	2.054309149055876e-14	6.129284413277292e-12
suv39h1b	146.49464894185962	2.252978017294508	0.2950081391665554	7.637002910019795	2.2233647709228748e-14	6.538915791284175e-12
si:ch211-209n20.1	151.34184495042194	7.24373635544493	0.9505672928292301	7.620435091854429	2.528220724927951e-14	7.330771840012919e-12
map1lc3a	1295.032816090574	-2.181274285346679	0.2864044089463806	-7.616063919445625	2.6152821454041782e-14	7.477890767699418e-12
socs1b	246.526072501545	3.0851578830450332	0.4068484060558022	7.583064938005144	3.3748581973131395e-14	9.517562425765152e-12
chaf1a	686.6058274416586	2.5014492196585243	0.33019243149824756	7.575731546323467	3.571095704314832e-14	9.9348847655039808e-12
slc29a2	122.09514116777899	2.672741087940058	0.35353369623428227	7.560074517391595	4.0283851107227737e-14	1.1057648569926632e-11
dnmt1	770.683452840983	2.153366036209723	0.2850291764892536	7.554896880147675	4.1919183728096453e-14	1.1355134676451602e-11
mcm5	645.7110302352105	2.3990924378938723	0.3178838133693547	7.547073292172715	4.4514810471123853e-14	1.1901641599597751e-11
krcp	203.60455975882292	3.0599055321077633	0.40641270408360236	7.529059749761947	5.1106994889894305e-14	1.3488970561516078e-11
dnajc4	340.90021329420676	-1.23474086394223	0.16454751556804884	-7.503856011922594	6.196737101786236e-14	1.6148383128414333e-11
si:ch211-156b7.4	249.68483358783465	2.417329045680953	0.3227229814632558	7.49041495192118	6.865620311691083e-14	1.7667815669598038e-11
mcm2	892.8768468540276	2.4626977179055674	0.32947673287341117	7.474572472623628	7.745525127466791e-14	1.965445464683439e-11
