gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
42sp43	50.905531287075185	3.119148326297057	2.8593254888200788	1.0908685766950568	0.27533071580642304	0.8386201281708583
a1cf	11037.242562329417	-0.5476259512525034	0.31113372523864713	-1.7600983333853022	0.07839113532445137	0.6388054446017634
a2m2a	396.15509696560036	-0.3501074785590448	0.4475940148673438	-0.7821987491562153	0.4340977795042126	0.914524910027032
a2m2b	682.7470377694865	-1.6503795919804687	1.422710200530226	-1.1600251346798478	0.24603857284852831	0.823475223416136
a2m2c	637.5604709957114	-1.7987171415433827	1.317729172379777	-1.3650127653279138	0.17224903789774598	0.7659891921645854
a2m2d	4878.544515688093	-0.6969380119645342	1.4670269609755557	-0.47506830515308224	0.6347382885667787	0.9679755694222293
a2m2e	1632.9553326799307	-1.4663756992314882	1.3651942772669061	-1.074115035236703	0.2827711266453011	0.8420959329157839
a2m2f	956.4395521952239	-1.5367877705919946	1.5021229373078688	-1.0230772278507727	0.306271332945376	0.8540357909374572
a2m2h	3424.4590304856956	-1.0531472521067717	1.4270575381455792	-0.7379851365175554	0.4605234813619724	0.9208472145326904
a2m3a	58.93307434917669	2.9822512063637694	2.8020840384255385	1.0642975604826845	0.28719392277533495	0.8466873691677651
a2m3b	79.31094634301962	4.0375365022328635	2.3353269290559338	1.7288956214216462	NA	NA
a2m3d	30.55664107738387	2.533321235986152	2.232498935471079	1.1347468953894917	0.2564813823747455	0.8291474822969284
a2m3f	84.59068694222583	4.740878794202573	2.673223606094075	1.7734688498915396	0.07615104913590949	0.6372668491059252
a2m3g	114.91084324530877	4.4535426185339455	2.1500362881112496	2.0713802102597376	0.03832327879321038	0.5033964943011721
a2m3h	228.11189470342438	3.066781012663469	2.9681800275159045	1.033219341223748	0.30150126361055646	0.8522595790128417
aaas	231.08782331787188	0.5538988766995845	0.23381557733729602	2.3689562646228013	0.017838362718054765	0.4035586519523005
aacs	3103.7479296422084	-1.6290966784673704	0.6303039400902591	-2.5846208072792387	0.00974861459297165	0.31655319972477497
aadac	81.3986481708314	0.18193119520895978	0.3578455580514612	0.5084070239675759	0.6111679279138948	0.9600700531102946
aadacl4	35.53559387256854	0.002416982591621392	0.962305162781443	0.002511659175386065	0.9979959880289896	1
aadat	299.09977051575794	0.39702438977549825	0.28000320442783655	1.4179280218838382	0.15621178026229524	0.752548049863352
aagab	310.2632268271566	-0.3519892735506109	0.17167598939027448	-2.0503116061875524	0.04033403273218492	0.5125157660901234
aak1a	136.99836275483062	0.11152407628549371	0.3428426877118096	0.3252922704282374	0.7449598803493314	0.9866734105151608
aak1b	146.00830374656854	-0.4634477022438308	0.2345643651732006	-1.9757805150907064	0.04817964120277314	0.5493246341314858
aamdc	381.13818552895316	0.36034308714235597	0.29039707270895726	1.2408633591961178	0.21465623045767135	0.800346727401655
aamp	1126.3248322815864	0.14029206810921302	0.20702799547438724	0.6776478117741783	0.49799502350369346	0.9299649746741724
aar2	264.6725329669018	-0.17948434834404786	0.23057610613917237	-0.7784169459246298	0.4363232518583644	0.9154466745383139
aars1	3107.974703168837	-0.2948114595388662	0.23370580097755933	-1.2614640214565078	0.20714171474157667	0.7949460953908485
aars2	122.93931788441982	0.0037450578760425497	0.2412075807502984	0.015526285966606861	0.9876123138500418	1
