gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC101885452	27.518303646617003	-21.53575389924273	1.8101472649534112	-11.897238592793173	1.2232826570603971e-32	2.5183720060902394e-28
LOC101887118	8.35208439884431	-19.188307961472425	2.3951331026098055	-8.011374374377898	1.1343356757161082e-15	1.167628427798376e-11
mhc2dgb	252.9522397988523	-25.98615013533813	4.035403080022655	-6.439542623135492	1.1983406095664534e-10	8.223412709714858e-7
zgc:112970	15.310237226411576	-21.432473221540548	3.4082006879182924	-6.288500937610974	3.2054613318563055e-10	1.6497708109731441e-6
snapc1a	12.919306169689012	17.594088069720566	2.86565492428951	6.139639466214767	8.270898145490481e-10	3.4054596024242505e-6
LOC137491340	12.445300201428811	19.546034737839417	3.4218891516014094	5.712059588105614	1.1161698852410065e-8	3.8297649045761e-5
LOC137495296	223.0941386933205	-10.776798321071265	1.937016429162721	-5.563607080880339	2.6425458307492495e-8	7.771727288233542e-5
adad2	5.992560882819526	16.014468259661157	2.8917154634034348	5.538051188761415	3.0585587633155603e-08	7.870818657547181e-5
LOC101882702	380.56265647770823	-4.8036168378027035	0.8887043162667554	-5.405191299150661	6.473926021667931e-8	1.4808746112008632e-4
ly6m5	278.65702963130536	-4.637720772972425	0.879059109886766	-5.275778068632747	1.3219399318517816e-7	2.721477737703262e-4
si:dkey-211g8.5	196.67744067867864	-3.7355097366332357	0.7227273253787537	-5.168629447732031	2.358169269942302e-7	4.413420978209288e-4
pld4	132.4441145521284	-3.028351817451919	0.6061928991977927	-4.995690021211891	5.862576457517466e-7	9.786985733700815e-4
stat1b	2646.0919722945305	-2.725364588990908	0.5466581419207037	-4.9855007727777325	6.180153229616291e-7	9.786985733700815e-4
ftr11	142.83797039708259	-2.491401417927291	0.5135040957417883	-4.851765426190629	1.2236730272313799e-6	0.0013315531276599881
ifi44a1	5768.507651227206	-2.180820442528241	0.45029724854390635	-4.843068549897212	1.2784915580766137e-6	0.0013315531276599881
LOC100001589	556.8835780594508	-2.384066604597696	0.492489321622664	-4.840849334037587	1.2928536830354125e-6	0.0013315531276599881
LOC141381093	42.78399044731171	20.24008185738158	4.181198621631882	4.840736757318184	1.2935863677660545e-6	0.0013315531276599881
mxa	303.4931398672876	-2.6579095035054974	0.5456026746394818	-4.87151113264202	1.1074792152092462e-6	0.0013315531276599881
si:ch211-217k17.11	6469.5412701395835	-2.657667322423469	0.5456901466630218	-4.8702864412625155	1.1143658462809994e-6	0.0013315531276599881
si:ch211-271e10.3	2016.8289887260069	-2.870306069089217	0.588129799217225	-4.880395574088354	1.058732629863947e-6	0.0013315531276599881
zgc:171506	100.24280201274813	-2.663024078985473	0.5520714351098162	-4.823694742430847	1.4092304116245143e-6	0.0013815155468625655
zgc:194443	127.35264986918035	-3.0885371674234	0.6467730639973607	-4.77530271334244	1.7943712917252993e-6	0.00167912371739767
herc56.2	66.28984578313185	-2.7615207693892887	0.5850828719100807	-4.719879699048338	2.359841642251078e-6	0.00211226347343578
igf2bp2b	910.9947502787452	-0.9122170534108783	0.19402799655124536	-4.70147128056311	2.5829359716605472e-6	0.0022156209520239867
LOC103910189	276.7586644948697	-2.6566422182330927	0.5716517235275824	-4.647309032568514	3.3629317468361204e-6	0.0026734577179382186
LOC570185	59.17014459310919	-3.04034010402931	0.6543312946559555	-4.646484325081697	3.376397759090382e-6	0.0026734577179382186
ca8	156.18768286280408	-1.7870824337050975	0.39035610138680404	-4.578082492770561	4.692576458328075e-6	0.0035780026499111143
LOC560863	250.02656988825808	-4.479295352113727	0.9821872617449019	-4.560530895255196	5.102445412784844e-6	0.0037515729897500565
cxcl14	201.08978232115584	1.2832377163024626	0.28407196505103993	4.517297988458312	6.263373372331815e-6	0.004041693167963103
LOC793010	91.68046794934918	-2.6740463714584153	0.590583137637139	-4.5278068421611115	5.959902189822582e-6	0.004041693167963103
rergla	77.89588855512265	2.609069456243025	0.5776548551502939	4.5166580579751185	6.282322891864735e-6	0.004041693167963103
si:ch211-153b23.3	74.14053960467186	-4.943499715039668	1.0918929348914823	-4.5274582855790495	5.96973806352782e-6	0.004041693167963103
irf7	311.99452573406893	-2.126933779629048	0.47526865458826767	-4.475224189719902	7.633117652109358e-6	0.004761908881938647
LOC137490039	8461.806164902167	-4.006623858841268	0.9040269975241522	-4.431973679784077	9.33744180957446e-6	0.005653821015697336
ftr22	125.5708582459796	-2.124969052882861	0.48253335884079945	-4.403776472548387	1.063825568996424e-5	0.006257421996836966
prag1	369.8987223441408	-0.7749512175956816	0.17693565239345851	-4.379847741892026	1.1876226070606885e-5	0.006791551836543998
zmp:0000000912	200.26547573040907	-2.103854251913044	0.4833631532367653	-4.352533365079474	1.3457338372573908e-5	0.0074877358128697035
ccl35.1	64.75409880237477	-3.2412269503371802	0.7510041768750093	-4.315857421491574	1.5898457675502287e-5	0.008613198635935937
cxcl11.3	41.858097922877604	-3.143451720804663	0.7321033298235159	-4.293726845310808	1.75698619927197e-5	0.009274634585746679
LOC108181196	27.72268293631698	-3.235777812663965	0.755215535850625	-4.28457527561241	1.830886125260202e-5	0.009423113165182944
LOC141381754	10.773241004495455	5.949470851795377	1.3980085134556444	4.255675694770467	2.0841862395664608e-5	0.01046515661315969
dhx58	478.26557918307145	-1.818288904847298	0.42972873694982877	-4.231248107243954	2.3239815249140045e-5	0.011169634603642085
nfia	166.95949237118654	-0.9751099831952263	0.231332815066413	-4.215182281490343	2.495765248785816e-5	0.011169634603642085
rnf145a	117.55316449062018	-2.062626849450703	0.48858727315226214	-4.221613952698909	2.4255927741386668e-5	0.011169634603642085
si:dkey-85k7.12	1341.9532558010683	-2.576527865311431	0.6108572243276252	-4.2178888334298295	2.4660033605179567e-5	0.011169634603642085
zgc:152658	285.71462881198767	-2.6811220803926092	0.6351268407217971	-4.221396276286509	2.4279367199747506e-5	0.011169634603642085
faah	698.7311759398989	-1.470737874474834	0.3510418912152453	-4.189636368991171	2.794018310467856e-5	0.011738868358694235
LOC101882795	973.1941850882788	-1.7566798895225086	0.4191068192463867	-4.191484864601505	2.7713467917818987e-5	0.011738868358694235
spire1a	481.1512292689393	-0.8758100767897551	0.20863152805228827	-4.197879797775604	2.6942556450575414e-5	0.011738868358694235
LOC137488852	3.99600191359136	16.862652613568695	4.029497490319078	4.1848028579448044	2.8541369111215446e-5	0.011751623317851848
slc46a2	56.44857251766086	-2.3766436734868743	0.5686867084911276	-4.179179217662257	2.9256306953009982e-5	0.011809795906698364
ifit15	3448.30129952886	-2.3497514002467197	0.5657224701048795	-4.153540869273052	3.273697107988366e-5	0.012823610349532883
ifng1r	77.00265036133479	-4.588747494163625	1.1085798407034932	-4.139302669667575	3.4836309844925206e-5	0.012823610349532883
sash1b	168.8055712382582	-1.7317962090824928	0.4179249906207143	-4.143796728954588	3.416025634950399e-5	0.012823610349532883
si:cabz01069012.2	72.54406124418533	-2.0002452866234477	0.4832677806371188	-4.138999881155771	3.488231308951481e-5	0.012823610349532883
si:ch211-276k2.1	528.5627927986884	-4.099218022030143	0.9897664585703876	-4.141601270213811	3.448895322297886e-5	0.012823610349532883
ankrd66	4.676122479861373	16.37360116770592	3.9756276438869507	4.118494646469843	3.813554276648349e-5	0.013599896938429735
ifit14	631.6373446047802	-2.6983397619465768	0.6559332426930252	-4.113741439400399	3.892974640821214e-5	0.013599896938429735
LOC110439307	442.6999076048699	-2.170423422487417	0.5281363491051597	-4.10958917363829	3.9636363545236515e-5	0.013599896938429735
vps33a	292.2863761842529	0.8546034440789629	0.2078143644436956	4.112340580338015	3.916679211941324e-5	0.013599896938429735
sp100.4	379.9300107330365	-1.1133422689028152	0.27224639259004063	-4.089465642908738	4.323681029192652e-5	0.01459206907344084
cmtr1	669.4774170742894	-0.5947528448735983	0.1458874264130226	-4.076793041710055	4.5661099703591685e-5	0.014687891556216281
pstpip1b	53.035645652128316	-1.4211763502248722	0.34817267180542844	-4.081814758336568	4.4685407357215305e-5	0.014687891556216281
si:ch211-284e13.11	164.16530024411043	-2.6905152729166883	0.6594422460203607	-4.079986214340318	4.50383716916162e-5	0.014687891556216281
