gene	log2FoldChange	padj	baseMean	pvalue	stat	metadata	value
aaas	1.0217078536156265	2.5391433868266934e-5	231.08782331787188	3.8988283219390506e-7	5.073832230827271	Treatment	A- T- P+
aadac	-1.0646797582849943	0.006711681242878896	81.3986481708314	6.300216402391958e-4	-3.418349437360729	Treatment	A- T- P+
aarsd1	0.9832182466279776	0.0012334184436378086	226.73199795025334	6.46981094562603e-5	3.9949858773343663	Treatment	A- T- P+
aatf	0.7253769623954134	0.04320851583628614	280.49630777990404	0.00775436833462092	2.6625819576529817	Treatment	A- T- P+
abat	-0.6164220026871089	0.01854737904881457	13941.002930007777	0.0024675942406813577	-3.027287155007116	Treatment	A- T- P+
abca3b	-0.7169115747580245	0.007877058268246851	1259.8718385340571	7.764300338704856e-4	-3.361063391554596	Treatment	A- T- P+
abca5	-0.9068991722004185	3.1899099171860584e-4	528.190859986573	1.055556912252485e-5	-4.405468088882015	Treatment	A- T- P+
abcb11a	-1.8016075626768098	0.03602679936363136	2680.531752691202	0.006070789609939764	-2.743933166742921	Treatment	A- T- P+
abcb4	-0.9098411405024196	0.007542815731561443	18558.28632700398	7.337419208410053e-4	-3.376650598863755	Treatment	A- T- P+
abcc1	-0.6451621435501328	0.023069317416260414	674.2345188927226	0.0032943108678527306	-2.9388512988494724	Treatment	A- T- P+
abcc12	-1.6470604479495907	1.099512802980981e-5	4054.8152156509595	1.3400162184617118e-7	-5.273287186458028	Treatment	A- T- P+
abcc2	-1.9666096396951978	3.2591488352081023e-4	13952.948628842903	1.088051074808193e-5	-4.39889169127202	Treatment	A- T- P+
abcd1	-0.8619810611278994	0.024735215174106085	315.1907224040749	0.003622860640442751	-2.9092594518332815	Treatment	A- T- P+
abcd3a	-0.7279184286523946	0.012963953705152357	6741.981366811998	0.001502583172522488	-3.174184168747818	Treatment	A- T- P+
abcf1	0.5925229685019414	0.02442702710050905	2846.333248904313	0.0035577685037317818	2.914922525498803	Treatment	A- T- P+
abcf2b	-1.116337167257227	0.004255459769064924	499.7853977300491	3.399899255783705e-4	-3.5827546396821943	Treatment	A- T- P+
abcf3	0.7161823318682	0.01812581694741203	911.8148028372384	0.002388165490124127	3.037162656720525	Treatment	A- T- P+
abcg2a	-1.081983064963137	0.005277610915082961	12558.495950721977	4.54330960939828e-4	-3.5063303479410157	Treatment	A- T- P+
abcg2c	-1.9129256620728403	0.0017070134339718494	546.1771604545626	1.0036281866979966e-4	-3.889713064796729	Treatment	A- T- P+
abcg4b	1.7472496439417498	0.04368923856031765	32.06008736621001	0.007874839720689282	2.6573895184064655	Treatment	A- T- P+
abcg8	-1.2597895956924048	0.011476519825873133	2805.1274874666287	0.001277316362808308	-3.221028071632209	Treatment	A- T- P+
abhd2a	-1.0589835035302768	0.002112992842291572	576.2630431658919	1.3375624609681655e-4	-3.8194376808676167	Treatment	A- T- P+
abhd4	-0.8043985192656137	0.003669382210211718	1105.110942356543	2.7955761453600606e-4	-3.63354135553423	Treatment	A- T- P+
abracl	0.6953628194464904	0.007678188041763436	1917.4990398750253	7.507426417574434e-4	3.3703444984833895	Treatment	A- T- P+
acacb	-1.1988788879179078	0.0038646103029894895	4347.983788233095	3.003404609138892e-4	-3.6150061766518022	Treatment	A- T- P+
acbd5a	-1.2101632437622376	0.002844544606415986	1271.6591084677832	1.999310910151213e-4	-3.7191035392568272	Treatment	A- T- P+
ace	-1.678044865699502	5.639617487026187e-4	16792.989927017574	2.2989772607967467e-5	-4.233680279200174	Treatment	A- T- P+
ace2	-1.1555736471416256	0.0013188252975325366	46538.615423733696	7.071507465354176e-5	-3.9738669516789358	Treatment	A- T- P+
ache	-0.8535394613978303	0.029731790882446603	939.8578390923568	0.004672286736169444	-2.828800137408044	Treatment	A- T- P+
ackr4b	-1.530824881350279	0.010500550495822011	118.21245626364978	0.0011504887659992218	-3.250878837642232	Treatment	A- T- P+
acot12	-2.2411622446276254	3.75621262044764e-4	1241.9074756882708	1.3060880972580333e-5	-4.359082604135664	Treatment	A- T- P+
acot16	-0.9845774264577464	0.028639031948681608	477.04340537807076	0.004430120202869516	-2.8457914226886185	Treatment	A- T- P+
acot17	-2.454253752931019	0.007739079722580632	145.60336662279494	7.595756662076023e-4	-3.3671202240986893	Treatment	A- T- P+
acot19	1.3349939071201973	0.0017854698361096934	1346.9147171418385	1.0665593255477193e-4	3.8749286792507087	Treatment	A- T- P+
acox3	-0.9219885967273201	0.004402954918068596	2555.7379526585305	3.5504535175668304e-4	-3.5714241675075784	Treatment	A- T- P+
acp1	0.5718571206349177	0.024058859562056813	707.8075510886641	0.0034870618800030705	2.921181882058872	Treatment	A- T- P+
acp2	-1.5752547347227754	3.5879058862226317e-10	1692.1445965741862	2.843454068035173e-13	-7.301609556575256	Treatment	A- T- P+
acp6	0.8953388533722145	6.38510263473511e-5	671.9296137629894	1.2757648361646946e-6	4.8434925863219584	Treatment	A- T- P+
acp7	-1.4434364511513946	0.010240002798794926	1255.7977387386245	0.0011128122314406888	-3.2603336494910877	Treatment	A- T- P+
