gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC137487668	16.984459069124927	-23.037400042067826	2.773243604938933	-8.307023588205519	9.813244546271305e-17	2.0202526547408737e-12
cpdb	10.297284844897778	-18.568738394262805	2.545221540870523	-7.2955293266580945	2.974871654051031e-13	3.0621841370974287e-9
zgc:112970	15.310237226411576	-22.14090341610481	3.408200687918291	-6.496361406941779	8.228584862693992e-11	5.646729218942707e-7
exd1	28.587918463004197	-16.62020017776678	2.734279896078863	-6.0784560503850535	1.2134523042557926e-9	6.245335646928501e-6
zp2.6	225.6381445428281	-21.068945100264376	3.53900699723556	-5.953349376455614	2.627096386998901e-9	1.0816806663829275e-5
ppt2a.1	33.969988456307085	-19.11260824026265	3.2594553636452415	-5.863742898104268	4.525480284032906e-9	1.3309437515340777e-5
qdprb.4	126.55821977819271	-20.05824816506115	3.4096813178675642	-5.882733984537213	4.035442444790322e-9	1.3309437515340777e-5
bncr	13.176447891039544	-18.12369787230809	3.1391386886533543	-5.7734619810897545	7.76591351705537e-9	1.998460769695236e-5
avd	47.83064090811266	-18.10972286108404	3.2406215757141434	-5.588348543008499	2.2923918704123806e-8	5.243719048464408e-5
LOC137491340	12.445300201428811	18.83254359699427	3.422373495133201	5.50277274639228	3.7386420318746554e-8	7.696742351020352e-5
LOC141381605	29.46323338222448	-23.331764690705473	4.300462965565885	-5.425407654367585	5.7822418690334467e-8	1.0821728487071961e-4
lhx8a	5.380069273724373	-17.767124581124275	3.2866095458647124	-5.405912790425403	6.447916607525929e-8	1.1061938266594691e-4
nots	4620.709660946243	-8.8936395997101	1.6863792186835997	-5.273807635421731	1.336219678919697e-7	2.1160580407630615e-4
adad2	5.992560882819526	15.145353396679516	2.903652861365452	5.215965585348025	1.8286212725762533e-7	2.6889875813233805e-4
vtg5	204087.56459141156	-8.78341049239925	1.7313063380369427	-5.073285009952889	3.910061854725138e-7	5.366429560215095e-4
rcn3	1082.859412160586	-4.673238565975547	0.9341121835278371	-5.002866516874075	5.648405326485251e-7	7.267732528521991e-4
rtn1a	2568.3076001484415	-3.834341025585137	0.7687582685869233	-4.987707036482546	6.110012731850614e-7	7.399225418271093e-4
vtg8	132.9576677715126	-6.2452353242491965	1.2847242547919386	-4.8611484534170435	1.1670668853264152e-6	0.001334800331567495
lectin	47.586309488905776	-18.462801922015068	3.834995296022363	-4.814295845724919	1.4771983085419071e-6	0.001600583240944855
mthfr	361.71163941720613	-2.609800337840183	0.5500914452364053	-4.744302716284935	2.0922577230724907e-6	0.002153665487244668
