gene	log2FoldChange	padj	baseMean	pvalue	stat
gbp1	4.320055712232146	1.3902301815331607e-21	4431.219195926025	6.752951773124596e-26	10.523214588046319
pcna	2.331870383690264	6.7466115590907175e-21	2488.793158103774	6.5542444834999925e-25	10.306959052506786
zgc:110540	3.4038887994122464	8.393963488895862e-20	175.22375494465146	1.2231937857233976e-23	10.021748621058727
dut	2.753461114170505	2.915879328673627e-19	514.0011766598847	5.665476910037649e-23	9.869128358271437
tapbpl	2.2925067168587163	3.3074132413068223e-19	723.2629053357799	8.032771266592565e-23	9.834042942624006
LOC101885672	5.585220450221906	7.95210320512097e-19	1003.782710414203	2.3176091334689764e-22	9.726803724357566
ercc6l	2.9299731022231863	2.3976860596253e-16	253.41568069448803	8.152621760031623e-20	9.111132800162036
rab40b	-2.4802178128410026	2.196412898358024e-15	382.0982400321585	8.535145085182004e-19	-8.852798794589134
gbp2	2.9808482245363312	2.5347203943059032e-15	987.536622476852	1.1081014013092305e-18	8.823627759029716
irf10	3.020589317008953	3.845504669038434e-15	569.9975627155292	1.867928629250709e-18	8.764990227498771
lig1	2.061282416765983	3.936454134848023e-15	707.6427406382775	2.1033174082347238e-18	8.751609167824386
dnmt1	2.4855884927585694	4.7470347630303706e-15	770.683452840983	2.7670091395717905e-18	8.720612481289784
irf8	3.277209145185332	6.969394505373026e-15	1090.4418906277651	4.40093887258218e-18	8.667917894459851
pold2	2.8620726497148654	1.0127122968202076e-14	115.95466670767345	6.886856829787199e-18	8.61677118095233
rfc4	1.8587063128131056	1.6312851833889455e-14	295.25625966539917	1.1885790912145617e-17	8.554035906382591
anxa3b	2.409812923891744	2.3005036628562266e-14	3082.231645197847	1.7879272650555995e-17	8.506804438374731
smc2	2.5234849753724355	2.8693202453742146e-14	412.95341285791386	2.3693808797474932e-17	8.474083183419589
batf2	4.720846355395059	3.085232581736948e-14	461.45741450085615	2.6975366236588658e-17	8.458968165022153
mybl2b	2.882002462579218	4.2803764072657966e-14	197.87381685843252	3.9504129663404154e-17	8.414361326071788
zgc:101715	2.442667312737629	4.8429690682359843e-14	458.7660148031174	4.704880816278219e-17	8.393847061400107
ncapd3	2.840928956560119	5.8547574067325e-14	227.2900400980174	5.9722108875204e-17	8.36577294101687
banf1	1.699953092839974	9.618952473060918e-14	2225.0059426949374	1.0279154534771468e-16	8.301515607379793
LOC137496284	4.601403755947713	7.990321776104999e-13	86.84773268285568	9.178537812088428e-16	8.037372425221411
ube2t	3.6848730543551955	7.990321776104999e-13	118.99243577608387	9.314991141328023e-16	8.035563356992048
rpa1	1.442055202206975	1.1343517167541968e-12	796.3434588915637	1.377509735214209e-15	7.987456737448113
lgals9l1	2.4551343807219363	1.6974052225608744e-12	2010.9091110912634	2.143708932169949e-15	7.932735378859138
vrk1	1.6047382560070065	2.050930746904207e-12	387.293333876344	2.689810568145606e-15	7.904513949954715
tyms	2.537694386002409	4.653825815618403e-12	265.0908303956099	6.329582884214081e-15	7.797200106162232
skp2	4.646063304911924	5.266680355584621e-12	91.91003982873018	7.67476614696355e-15	7.772836693877958
zgc:194101	3.94786140965905	5.266680355584621e-12	960.9144490669015	7.667248414897148e-15	7.7729607844984345
fen1	2.3587278302282586	5.507308964115608e-12	298.5643487222355	8.292931358992755e-15	7.763021857470894
ncapg	3.2443130922458048	7.37404821527137e-12	256.2219271502464	1.146206552138164e-14	7.721886259507563
foxm1	3.129004827453007	9.03761772053661e-12	114.5304972556073	1.492587567388375e-14	7.688166272800032
pclaf	3.0030420996426037	9.03761772053661e-12	237.27826591885034	1.486871802150239e-14	7.688657261289283
nup93	1.434037087740194	9.567959868925864e-12	794.0257703046142	1.6266507767640027e-14	7.677151451639505
slc29a2	2.7098517207137034	1.0655008057926713e-11	122.09514116777899	1.863216059092445e-14	7.659731913715122
stat2	-2.262430036113989	1.1896952124558662e-11	2559.6895541436143	2.138180544074758e-14	-7.6420331809368705
hmgn2	1.8769580011296028	1.2409438584651626e-11	7795.811177006787	2.350843273917586e-14	7.6298185648275325
rpa2	1.980783488405689	1.2409438584651626e-11	405.41534022251494	2.3331530354648518e-14	7.630792307020238
rbbp4	1.6393339806667961	1.516038277630317e-11	1007.976550072733	2.9456225338909355e-14	7.600687229500164
pold1	2.058187465440359	1.6472966684190093e-11	391.5486022506032	3.280670491338193e-14	7.586735011922202
socs1b	3.0826703133706324	1.7596644739578002e-11	246.526072501545	3.589930922729276e-14	7.575048645103487
haus8	2.579844360337044	1.763406292132755e-11	69.83144552132238	3.683220991971073e-14	7.571717377893867
si:ch211-156b7.4	2.4287967951546396	2.496889201306974e-11	249.68483358783465	5.3760688324727535e-14	7.522446331340847
si:ch73-106k19.5	3.5558109362960946	2.496889201306974e-11	1125.8867870267602	5.4578138659743447e-14	7.520473684095978
chaf1b	2.5280862879898276	2.9147337671950643e-11	204.5337269855895	6.654320059171712e-14	7.494516493199797
rrm1	2.1950884908017323	2.9147337671950643e-11	769.321704999759	6.544862324201435e-14	7.496691797175745
ano5a	-2.871671019546658	4.48268508859947e-11	3327.4699898892363	1.0504275396605371e-13	-7.4344011381561454
atad5a	2.169424485295303	4.48268508859947e-11	233.5613277916492	1.066943067670734e-13	7.432338532407065
dnmt3ba	1.6419919417718014	4.804352214813411e-11	233.85683669318945	1.16684126264473e-13	7.420494190985818
