gene	log2FoldChange	padj	baseMean	pvalue	stat
pcna	2.6436036303885566	3.076801711813545e-27	2488.793158103774	1.4945362179110822e-31	11.686479826670293
dut	3.2245113900228772	6.457682818397594e-27	514.0011766598847	6.2735540082553e-31	11.563975587505604
ercc6l	3.5606535555659247	1.0146517455357843e-24	253.41568069448803	1.4785812583705023e-28	11.085297475296574
zgc:110540	3.7387697947856213	1.6220533446524217e-24	175.22375494465146	3.1516070231746668e-28	11.017361853813197
lig1	2.5688409007477238	4.081269404948368e-24	707.6427406382775	9.91224900410057e-28	10.913713713853095
rfc4	2.3188299972080864	3.84877221580226e-23	295.25625966539917	1.1217094911747006e-26	10.69098691759029
smc2	3.113888765278054	3.6907767510649463e-22	412.95341285791386	1.2549393917255852e-25	10.46468446858962
nup93	1.9426680158172533	5.697392554901259e-22	794.0257703046142	2.213976802798371e-25	10.410781046999633
mki67	3.0702963060275255	1.064923793364188e-20	1235.533431814617	4.655517627763974e-24	10.116764431094996
gbp1	4.11200213635323	2.658255905238346e-20	4431.219195926025	1.2912303420791501e-23	10.016398191813067
rpa1	1.8026554712153449	3.0473890369657735e-20	796.3434588915637	1.6282741247691996e-23	9.993442052433483
vrk1	2.021474887527093	3.477977086640189e-20	387.293333876344	2.0272854247671964e-23	9.971700087642102
hmgn2	2.420863494758695	1.182918773908592e-19	7795.811177006787	7.469735299369358e-23	9.841355759732588
seta	1.5014369889826054	1.4453925608277837e-19	2332.350472384633	9.82925916917908e-23	9.813704275996994
cirbpa	1.5651419844568868	2.007887576265573e-19	6873.755827001999	1.560509118387777e-22	9.766968926933599
hmga1a	1.6756708969612968	2.007887576265573e-19	6793.449557130627	1.5109724618221804e-22	9.770237636371006
banf1	1.96909468113103	8.159236653122488e-19	2225.0059426949374	6.7376025211581235e-22	9.617613745502176
anxa3b	2.71908825736911	8.72116320885786e-19	3082.231645197847	8.048870693559008e-22	9.599300616203019
lsm8	1.658161416901856	8.72116320885786e-19	257.07611401943126	7.738207255190719e-22	9.603357134353743
hmgb2a	1.5770422048314443	1.2298104040754022e-18	3283.9979743113754	1.2245227845703523e-21	9.555952485078075
rpa2	2.4775394698432813	1.2298104040754022e-18	405.41534022251494	1.2544818810697745e-21	9.553449536334956
hmgb2b	2.172186288157759	1.5076106314313176e-18	2182.75107508653	1.6119231226312375e-21	9.5274510715138
mybl2b	3.258861160036235	1.5076106314313176e-18	197.87381685843252	1.6843175073065674e-21	9.522888059567364
rbbp4	2.0322361571949963	3.6210520251987506e-18	1007.976550072733	4.22136535701025e-21	9.426962461578983
ncapg	3.874459543808484	2.273319908782801e-17	256.2219271502464	2.7606255267678647e-20	9.22787165222617
ncapd3	3.1046943799408986	4.584643006948407e-17	227.2900400980174	5.79009657456932e-20	9.1481796197933285
klhdc3	-1.112547007042085	2.1015331405189144e-16	782.237058776662	2.7561759748390095e-19	-8.978046103206008
aqr	1.376891106107916	2.379968606700188e-16	726.3042552025615	3.236951522203588e-19	8.960334430100557
si:ch211-156b7.4	2.8865117255324386	2.568486711786113e-16	249.68483358783465	3.61811408373232e-19	8.948051753702284
ilf3b	1.498266574643354	2.616696687451986e-16	2285.716168970723	3.89823639601094e-19	8.939814654910009
slc29a2	3.157790902007358	2.616696687451986e-16	122.09514116777899	3.9402339977175673e-19	8.93863037835058
LOC137496284	5.100597273339805	3.102181200638707e-16	86.84773268285568	4.821965241192919e-19	8.916283865266212
ilf2	1.6172434264915063	3.6459572645930617e-16	2411.174787498938	5.844299302063003e-19	8.894954967251
znf367	2.616800027278886	6.306600651653272e-16	285.80251271352864	1.0415525436256435e-18	8.83055751336955
plk4	3.5122437891559746	6.510264965835191e-16	127.9086210895564	1.1068114528791552e-18	8.82375813153008
pold2	2.9233766706007125	7.313200935489781e-16	115.95466670767345	1.2808465154147637e-18	8.80739766432616
tyms	2.8637063769240636	7.313200935489781e-16	265.0908303956099	1.3143655443392524e-18	8.804500547505109
ubxn1	1.0772755413748138	1.0183841190292813e-15	556.2324196324349	1.879758902371044e-18	8.764278934248535
e2f8	4.018624513477503	1.0733669531210705e-15	261.28607061744793	2.033385688624945e-18	8.755423467704325
ddah1	-2.284906457434219	1.1615705032746357e-15	2552.936511789953	2.256900963277089e-18	-8.743653902358975
snrpa1	1.5568219078735746	1.2236641470922562e-15	556.6799712574363	2.4369859635101038e-18	8.734980301051502
uhrf1	2.3898220978337665	1.839258477220893e-15	603.8982277651733	3.7523124322765576e-18	8.686058646896779
cks1b	3.011764204331912	2.363634418552192e-15	97.94600719950697	4.9369155291078955e-18	8.654819680772773
acp2	-1.8651903035106077	2.5150591243181387e-15	1692.1445965741862	5.4975305092687736e-18	-8.642543308589481
hdac1	0.9325537235206891	2.5150591243181387e-15	2211.394606891167	5.396028838012182e-18	8.644671549393081
orc4	2.4436404805276957	2.5782654681297153e-15	161.2308485203331	5.760927358719916e-18	8.637196448243222
sae1	2.609101729128923	2.747493747089273e-15	294.08379800224526	6.272512076222656e-18	8.627467921661344
rab40b	-2.412725543576442	2.8654332433004117e-15	382.0982400321585	6.680953790179228e-18	-8.620247520447153
pold1	2.3337485565274547	3.1233925554881522e-15	391.5486022506032	7.434120329281559e-18	8.60800779549522
nsd2	2.8696463665023684	3.3152671565669097e-15	317.8439814101534	8.051846205291955e-18	8.598850543820763
ncapg2	3.272554165235724	3.578145388473779e-15	129.4298673773496	9.01494705882462e-18	8.585872671505427
si:ch211-222l21.1	1.8957486673694006	3.578145388473779e-15	4198.574517702517	9.037915198942854e-18	8.585580169411498
chaf1a	2.8258600931062423	4.426619963968792e-15	686.6058274416586	1.1396068299914799e-17	8.558888685063538
nup85	1.2544518374197429	4.7146236188494245e-15	347.97154779297847	1.2366526226155773e-17	8.549460424882326
knstrn	4.070305134512637	6.111758917835232e-15	56.2811767495937	1.632810708121328e-17	8.517324817024686
aaas	1.7050878317794502	7.252270145386586e-15	231.08782331787188	1.972735843695773e-17	8.495387537211961
lbr	1.8115415533768424	7.449018841636657e-15	324.28645816122435	2.0624378198537398e-17	8.490221414699155
ano5a	-3.276232819785684	7.78154549642288e-15	3327.4699898892363	2.230102415548404e-17	-8.481133662321819
ppih	1.9874366586474252	7.78154549642288e-15	307.85299518259575	2.2242353724538572e-17	8.481440115258659
atad2	2.746127530265342	7.840792799708403e-15	375.1207366684467	2.2851681545757235e-17	8.478295579594977
irf10	2.893872456213117	1.539385604046879e-14	569.9975627155292	4.561253307760219e-17	8.39748949666464
dnmt3ba	1.8522821466786104	1.7147404361235052e-14	233.85683669318945	5.1641281896175895e-17	8.382895589011019
pclaf	3.2691509875157387	1.8249305142719942e-14	237.27826591885034	5.584622451019364e-17	8.37368011143563
snrpd2	1.4568903718816195	1.8637872268068026e-14	838.2399767538459	5.794063365989963e-17	8.369342460721358
tut1	2.2059468365880743	1.8790428893447693e-14	150.45442651837112	5.932762802128042e-17	8.366554218462714
rfc2	1.6031475406774114	2.0134812746663094e-14	224.80189933178	6.455032988195289e-17	8.356602533039545
dck	2.7359335004571683	2.148102531875704e-14	126.27523247232327	6.990958839834467e-17	8.347184292636515
nemp1	3.0555884020117374	2.162970470764034e-14	71.94197036566933	7.209911852593758e-17	8.34353986958201
snrpf	1.5215271276071112	2.162970470764034e-14	650.3187380246218	7.249476003435097e-17	8.342892994955674
tapbpl	1.9415332521702708	2.4412827341493972e-14	723.2629053357799	8.300859347668811e-17	8.326868884027798
ska3	4.219413913979629	3.081668618857798e-14	96.96564751519959	1.0627992030840029e-16	8.297550507770358
lonrf4	-1.9394278762776695	3.1630096337577116e-14	2433.0942430348896	1.106216027738647e-16	-8.292791011398934
slbp	2.714975722308443	3.4231677644702296e-14	314.5022507179287	1.2138303143067312e-16	8.28174526045182
batf2	4.611637353109374	3.9383900375824275e-14	461.45741450085615	1.4156548442274233e-16	8.263412918785288
chaf1b	2.7828845117489505	3.938834210005559e-14	204.5337269855895	1.5114776440979218e-16	8.255594668496204
dek	1.642195123203669	3.938834210005559e-14	416.28041068235643	1.455189407726379e-16	8.260125865046884
eftud2	1.4772256905462322	3.938834210005559e-14	907.9888528172446	1.4468725491995058e-16	8.260809985228509
