gene	log2FoldChange	padj	baseMean	pvalue	stat
LOC137490512	48.535545340063024	7.500677800837894e-48	11.611477747583246	3.643404964704859e-52	15.198043598973628
LOC141382111	36.321880445059875	1.3050982157918117e-25	7.136063313479681	1.2678857684867262e-29	11.303015202125703
LOC141374967	41.03054725281459	2.4989319605554224e-12	4.382756342730813	3.641519347970208e-16	8.149924372555736
pvalb9	-4.876707502271718	7.663877870373186e-6	939.7473032474802	1.4890713305237646e-9	-6.045543535633981
zgc:153738	3.597311046976266	1.0493913398682969e-5	38.096980668316185	2.5486747458791883e-9	5.958305029739502
zmp:0000000629	-4.642935343640501	1.0604011841991117e-4	87.85787735759142	3.090497452370268e-8	-5.536231090276687
LOC137487415	-2.1289620295029925	0.008747457458959065	37.70169259507181	2.9743139948857756e-6	-4.672585663063734
ugt5a4	-2.31394760023319	0.010066474888121825	692.8427436418017	3.911779234709992e-6	-4.616015404498154
crp7	-3.5720657335305463	0.01461198025313783	90.21282593888674	6.790448603992113e-6	-4.500153259944825
cspp1a	2.8615708095296624	0.01461198025313783	23.024984293432652	7.0976734119288055e-6	4.4907382439959065
senp6b	5.217604123757517	0.020324788811510078	16.917171873003937	1.0859895901618053e-5	4.399303301500345
sgo2	2.3322134559376897	0.02215334525847503	53.263379170806054	1.2913010302700753e-5	4.361574006225268
uchl1	1.9935296904030848	0.027789499759601457	314.2170938904783	1.7548137022141106e-5	4.294001395169031
adgrl2b.1	0.7795331298401476	0.028704376412576824	80.99933723887322	2.010721673355129e-5	4.263696884584743
lsm14b	3.6837194534969244	0.028704376412576824	93.23349287178478	2.091444339576686e-5	4.254897893019749
foxj1b	-3.1352580954175546	0.037743045508304394	5.707502243319661	3.438270251168433e-5	-4.142308766886702
LOC137487483	-1.6428652936438595	0.037743045508304394	366.68882439595114	3.142788957447161e-5	-4.162865217660984
myo16	-2.039085109585704	0.037743045508304394	82.05017844894246	3.453602323241374e-5	-4.141288504328369
tgm1l6	-5.665212934684221	0.037743045508304394	16.367055095875916	3.4833529152270046e-5	-4.139320984061916
itga2b	2.276389033097663	0.03780559414844029	30.42314221415539	3.7303057607472976e-5	4.12357891437368
tuba4l	4.035404413526675	0.03780559414844029	438.47371109386626	3.8564019872601454e-5	4.115918720343625
