gene	log2FoldChange	padj	baseMean	pvalue	stat
LOC137490512	48.33269356321905	2.0305516589841438e-47	11.611477747583246	9.863271282771378e-52	15.132656101653318
LOC141381096	-40.93205911211763	1.6866298691753313e-25	19.61753831201194	1.6385387566671505e-29	-11.280477652695533
LOC141381090	-46.82989923798349	1.7315519813833496e-22	9.471418531731834	2.523269997644168e-26	-10.615541541230801
LOC141378343	-46.648605788196704	1.0137404082628097e-16	6.853036931041175	1.9696709734547232e-20	-9.263971118944713
LOC141377504	-23.100550540902447	7.119450014146209e-14	10.259203553726563	1.7291130359319498e-17	-8.510683312740273
LOC141375690	31.664174615638416	1.0831637656350937e-6	10.578484951383459	3.1568380987081957e-10	6.290873846509673
zmp:0000000629	-4.898810057867715	1.675148339884141e-5	87.85787735759142	5.695846106372461e-9	-5.825451319366286
si:ch211-194e1.7	22.626429511553642	0.0011210411315392998	13.795681034140067	4.356306918110652e-7	5.052689978684985
pvalb9	-3.896497278434765	0.003004715016628208	939.7473032474802	1.3135685213801853e-6	-4.837689918668987
zp3d.1	3.167612136457927	0.006829081906156499	27.95242194599069	3.3171816710334187e-6	4.650134786143809
celsr1b	-3.0298803625928303	0.008355803988100631	41.453297559791224	4.464654581488655e-6	-4.588489173280792
ckmb	-4.4345879921930385	0.014467589122891252	52.42330922169049	8.433043642818042e-6	-4.453884604659663
ifi27.6	-2.369450519121275	0.01493029596043348	603.7352488539991	9.427981128169974e-6	-4.429893099160286
igsf21b	-3.872493982947456	0.01752587737245035	42.747159320606755	1.2464577091656091e-5	-4.369299413004465
LOC141379879	-5.596211649165637	0.01752587737245035	97.65997645817659	1.2769619691395311e-5	-4.36401605907131
kcnh3	-2.286808753631272	0.021704084599767314	22.98401107486114	1.686818640871798e-5	-4.302762203016983
hydin	-1.9133008398960147	0.026221321085406927	59.3990508063085	2.1652618567635778e-5	-4.247130153890948
gmnn	1.679270546797458	0.03194914614650178	141.5339862329593	2.9486266905500257e-5	4.177398116353388
ptprsa	-1.011544705936425	0.03194914614650178	83.72855737952774	2.8889948400088895e-5	-4.182044438111196
ifit8	-2.840853571494466	0.03291264048611263	336.64551517624903	3.2171225981608935e-5	-4.15752629172707
LOC101886839	3.9148205211773157	0.03291264048611263	28.12999864470013	3.3572907670295095e-5	4.147770236165635
slc4a5b	-4.034896067210297	0.0369852303492666	337.54072548953457	3.9523731854270424e-5	-4.1102462963687545
