gene	log2FoldChange	padj	baseMean	pvalue	stat
gbp1	3.728822424508048	2.1360115496132316e-15	4431.219195926025	1.0580076029586564e-19	9.08281664004726
ercc6l	2.7823292551271206	3.397915220156313e-14	253.41568069448803	5.0491582844464504e-18	8.652255193652243
zgc:110540	2.9416422885590343	3.397915220156313e-14	175.22375494465146	4.935231414721847e-18	8.654858595588522
tapbpl	1.9973095088396389	5.38168855081328e-14	723.2629053357799	1.0662615386226718e-17	8.566555892356936
gbp2	2.7633679966577973	1.1488560721436643e-12	987.536622476852	2.845252543820061e-16	8.179711078596894
LOC101885672	4.683163453527233	1.1728238873789346e-12	1003.782710414203	3.4855333717735437e-16	8.155217049536061
batf2	4.5181950898977465	1.6412917290252466e-12	461.45741450085615	5.690743525274519e-16	8.095761046637636
pcna	1.8227529572681456	1.9967645014294406e-12	2488.793158103774	7.912286894564131e-16	8.055548992503947
zgc:101715	2.3249222806834418	3.0365163841173192e-12	458.7660148031174	1.3536404704074433e-15	7.989612049065795
anxa3b	2.2450040163101272	4.6055378049353e-12	3082.231645197847	2.2812114542252214e-15	7.925013719139572
dut	2.158924205056338	1.9139107919712897e-11	514.0011766598847	1.0427965085781459e-14	7.733926015110292
irf10	2.6398566567050614	3.1489090181405346e-11	569.9975627155292	1.871658240511487e-14	7.659151281201959
ncapd3	2.5401242954658	1.1703679506643892e-10	227.2900400980174	7.536174827201476e-14	7.478175094087115
smc2	2.218352979101668	1.3668047874194706e-10	412.95341285791386	9.478065790218726e-14	7.447979341363823
rab40b	-2.078778909422289	1.4040525204791962e-10	382.0982400321585	1.0431813268209392e-13	-7.435316188575263
acp2	-1.5752547347227754	3.5879058862226317e-10	1692.1445965741862	2.843454068035173e-13	-7.301609556575256
lgals9l1	2.2557671626575897	3.7220055597522217e-10	2010.9091110912634	3.134087597988398e-13	7.288506936919264
klhdc3	-0.8958052982924805	5.113820861001818e-10	782.237058776662	4.559352890090283e-13	-7.23782557065379
rfc4	1.5690586156482222	5.621390694343994e-10	295.25625966539917	5.290327564145619e-13	7.2176252169396475
ncapg	3.0219614448089667	6.332300472288529e-10	256.2219271502464	6.376478624867129e-13	7.192180215566997
nup93	1.3424454368656065	6.332300472288529e-10	794.0257703046142	6.586671450693899e-13	7.187752092963938
mki67	2.1751112480957215	6.828022725274154e-10	1235.533431814617	7.778717255996114e-13	7.164998910919567
zgc:194101	3.640065392784289	6.828022725274154e-10	960.9144490669015	7.677213334808179e-13	7.166798082662172
mybl2b	2.4188269439765513	1.4253462004073317e-9	197.87381685843252	1.6944033290294696e-12	7.057569249125372
lig1	1.6599729465510837	1.491915716221072e-9	707.6427406382775	1.8474363715650505e-12	7.045539993708992
LOC795715	5.437328856028967	2.2924827541692595e-9	182.25498975588704	3.115258323051166e-12	6.972424059068395
snapc1a	17.514500485256978	2.2924827541692595e-9	12.919306169689012	3.0939245844576314e-12	6.973390413929929
socs1b	2.8364871294425256	2.2924827541692595e-9	246.526072501545	3.1794302400683175e-12	6.969555900365219
hapstr1b	-0.6662557402736989	2.771377530187007e-9	1687.2927968994825	3.980878120532131e-12	-6.937858616656417
LOC137496284	3.960962685251116	3.090625293049559e-9	86.84773268285568	4.7456230662507466e-12	6.9129843541927185
