sample	Sample_Name	Time	Antibiotics	Temperature	Pathogen	History	Length.mm	Weight.g	Total.Worm.Count	Treatment	Treatment_Plot
110	110	60	0	0	1	0	34	0.38	0	A_minus_T_minus_P_plus	A- T- P+
112	112	60	0	0	1	0	36	0.46	2	A_minus_T_minus_P_plus	A- T- P+
114	114	60	0	0	1	0	34	0.36	5	A_minus_T_minus_P_plus	A- T- P+
116	116	60	0	0	1	0	34.5	0.39	3	A_minus_T_minus_P_plus	A- T- P+
119	119	60	0	0	1	0	35	0.43	8	A_minus_T_minus_P_plus	A- T- P+
136	136	60	0	0	1	0	49	0.35	0	A_minus_T_minus_P_plus	A- T- P+
142	142	60	0	0	1	0	40	0.7	0	A_minus_T_minus_P_plus	A- T- P+
145	145	60	0	0	1	0	34	0.34	4	A_minus_T_minus_P_plus	A- T- P+
146	146	60	0	0	1	0	37	0.63	0	A_minus_T_minus_P_plus	A- T- P+
16	16	60	0	0	0	0	31	0.36	0	A_minus_T_minus_P_minus	A- T- P-
170	170	60	0	0	1	0	37	0.55	2	A_minus_T_minus_P_plus	A- T- P+
175	175	60	0	0	1	0	34	0.45	1	A_minus_T_minus_P_plus	A- T- P+
177	177	60	0	0	1	0	34	0.37	0	A_minus_T_minus_P_plus	A- T- P+
20	20	60	0	0	0	0	30	0.3	0	A_minus_T_minus_P_minus	A- T- P-
200	200	60	0	1	0	1	34	0.3	0	A_minus_T_plus_P_minus	A- T+ P-
204	204	60	0	1	0	1	34	0.44	0	A_minus_T_plus_P_minus	A- T+ P-
229	229	60	0	1	0	1	35	0.46	0	A_minus_T_plus_P_minus	A- T+ P-
231	231	60	0	1	0	1	34	0.42	0	A_minus_T_plus_P_minus	A- T+ P-
258	258	60	0	1	0	1	34	0.44	0	A_minus_T_plus_P_minus	A- T+ P-
262	262	60	0	1	0	1	32	0.38	0	A_minus_T_plus_P_minus	A- T+ P-
286	286	60	0	1	1	1	35	0.36	4	A_minus_T_plus_P_plus	A- T+ P+
288	288	60	0	1	1	1	36	0.43	0	A_minus_T_plus_P_plus	A- T+ P+
289	289	60	0	1	1	1	35	0.38	0	A_minus_T_plus_P_plus	A- T+ P+
291	291	60	0	1	1	1	35	0.39	1	A_minus_T_plus_P_plus	A- T+ P+
317	317	60	0	1	1	1	38	0.58	0	A_minus_T_plus_P_plus	A- T+ P+
318	318	60	0	1	1	1	35	0.42	0	A_minus_T_plus_P_plus	A- T+ P+
