contrast	Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list	analysis
A_plus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	DNA replication	1.7949401374912012e-44	82	43.74595003086882	1.9626667112243794	80	2			All_Treatments
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	DNA replication	7.958956612775235e-42	88	41.09914386279187	2.139930300852439	87	1			All_Treatments
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	DNA repair	1.8160056306806576e-41	140	40.74088280924569	1.8984978055826096	133	7			All_Treatments
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	DNA damage response	1.117377771198038e-38	160	37.9517999726233	1.8482792267407135	149	11			All_Treatments
A_minus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	chromosome segregation	1.405798739462108e-37	74	36.85207685043816	1.9827718498846347	73	1			All_Treatments
A_minus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	chromosome segregation	1.405798739462108e-37	74	36.85207685043816	1.9827718498846347	73	1			Parasite_Effect
A_plus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	DNA replication	3.1826695963318822e-37	85	36.49720844461425	2.1476960315894695	84	1			All_Treatments
A_minus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	DNA replication	6.756168780259623e-37	65	36.17029950957175	1.702886412682309	64	1			All_Treatments
A_minus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	mitotic cell cycle process	6.756168780259623e-37	96	36.17029950957175	1.900499806631723	94	2			All_Treatments
A_minus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	DNA replication	6.756168780259623e-37	65	36.17029950957175	1.702886412682309	64	1			Parasite_Effect
A_minus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	mitotic cell cycle process	6.756168780259623e-37	96	36.17029950957175	1.900499806631723	94	2			Parasite_Effect
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	DNA-templated DNA replication	1.2655026127883861e-36	63	35.89773695384954	2.153401082269738	63	0			All_Treatments
A_plus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	mitotic cell cycle process	1.3344351976492616e-36	114	35.87470251141313	2.203841756722162	109	5			All_Treatments
A_plus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	DNA-templated DNA replication	3.6147114317162305e-34	56	33.4419263674194	2.019820279470999	56	0			All_Treatments
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	chromosome segregation	8.804854700301484e-34	91	33.05527780646308	2.6470723850317945	90	1			All_Treatments
A_minus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	chromosome organization	1.4004987282521329e-33	108	32.85371728120909	2.3622033808233396	107	1			All_Treatments
A_plus_T_minus_P_plus_vs_A_minus_T_minus_P_minus	chromosome segregation	7.816889830450861e-33	92	32.10696600885194	2.423010516005017	88	4			All_Treatments
A_plus_T_plus_P_plus_vs_A_minus_T_minus_P_minus	chromosome organization	1.977982340964168e-32	94	31.703777590016923	2.083212639111904	92	2			All_Treatments
