gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
42sp43	51.58580536600378	3.7921310886351702	2.0381886046300055	1.8605398342532484	0.06280918812177111	0.7958539456095026
a1cf	11062.524512401731	-0.4809334911434521	0.22643327395671997	-2.1239523800524864	0.03367412572772443	0.7366247989472753
a2m2a	392.0874411927757	-0.05834426162535271	0.3180017377955709	-0.1834715182055377	0.854428064615014	0.9988404156228989
a2m2b	648.0970472659394	-0.07624256195685897	1.030563581476175	-0.07398142465664218	0.9410251657276892	0.9988404156228989
a2m2c	622.6297075299054	0.6390167006879904	0.9561332859743648	0.6683343316897382	0.503920203116174	0.9988404156228989
a2m2d	4502.0700082882095	-0.46665303868306063	1.059455735486196	-0.4404648755513211	0.6596004464594478	0.9988404156228989
a2m2e	1559.3156592130042	0.0558499549974248	0.9882829472403808	0.056512110376260874	0.9549338482583165	0.9988404156228989
a2m2f	901.752196170864	-0.6742534463502464	1.0852578159848512	-0.6212841192379472	0.5344127007105645	0.9988404156228989
a2m2h	3211.9620038467137	-0.5338159229622326	1.0321768943802976	-0.5171748426733841	0.6050341119104625	0.9988404156228989
a2m3a	59.765845667392774	1.1282283248562377	2.0025057877852506	0.5634082716455197	0.5731569059487261	0.9988404156228989
a2m3b	80.37976272305228	2.8753169622629575	1.7081911759699124	1.683252438434094	NA	NA
a2m3d	30.93252257206713	2.6499937256485717	1.7025606564550326	1.55647536879316	0.11959509531837767	0.8678451429860398
a2m3f	85.72468326289244	3.6763207303058194	1.960920906632051	1.8747929699112784	0.060821210716634135	0.7958539456095026
a2m3g	116.48067260327626	2.8565475526243365	1.5630922015190332	1.8274977956183946	NA	NA
a2m3h	231.2562239103852	3.857331851936921	2.123442238031685	1.8165466349169248	0.06928656103157009	0.7992904804378257
aaas	231.0422793687067	0.273536513724005	0.1601147924617456	1.7083775303856323	0.08756631376746381	0.8286994232982604
aacs	3132.2915751966275	0.25752167519823266	0.4513947369393131	0.5705021661181988	0.5683371533672463	0.9988404156228989
aadac	81.91224945153319	-0.10521486090105585	0.25964464220660033	-0.40522638944860623	0.6853111088641597	0.9988404156228989
aadacl4	35.99861843605002	-1.564171277450893	0.6943616030436306	-2.2526753648165183	0.024279625344801884	0.6861360304691816
aadat	300.5337182568136	-0.0014890103954955925	0.1974866924878019	-0.0075398011721096786	0.9939841660519291	0.9990140830347186
aagab	310.6952771122062	0.10708821859253483	0.11912833172019702	0.8989315727517998	0.36868910950707096	0.9988404156228989
aak1a	137.76619794603144	-0.001157810476590974	0.23684969858848462	-0.004888376398581009	0.9960996554781029	0.9990140830347186
aak1b	145.8275652053779	-0.1606829574947926	0.1636000700462045	-0.9821692463176328	0.32601647569675163	0.9942525160539729
aamdc	384.3445333443496	0.03984061492301093	0.198545037021463	0.2006628597757601	0.8409622025768617	0.9988404156228989
aamp	1126.4156722437049	0.1892193078245976	0.14918223883661327	1.2683769147065391	0.2046633816300614	0.9466479151701791
aar2	264.97752948085395	0.21446347301357888	0.16309728840767268	1.3149419901912345	0.1885293991992093	0.9353696247362459
aars1	3113.3068346513155	0.15811623836527422	0.16912167001619693	0.9349259521274316	0.3498264615149246	0.9988404156228989
aars2	122.92990495447044	0.05644588967397033	0.1645547646330332	0.34302191006044697	0.7315819772087289	0.9988404156228989
aarsd1	226.57587663276368	0.20303600247550102	0.19953492551584986	1.0175461862157713	0.3088936724721039	0.9888035298645342
aasdh	19.88448754871109	0.164052849296063	0.38908333205205514	0.42163936561053844	0.6732882683026694	0.9988404156228989
aasdhppt	68.76836051537745	0.07780659617374956	0.19784195479569897	0.3932765234456785	0.694115255756589	0.9988404156228989
aass	254.20598702549677	0.06863511951271221	0.3237294219334675	0.21201384508948967	0.8320962330299723	0.9988404156228989
aatf	280.5623707682248	0.11078182903258774	0.22328139029653452	0.49615343618857405	0.6197861605128152	0.9988404156228989
aatka	371.20814499880925	-0.09662116440770498	0.25428281859498864	-0.3799751982519875	0.7039638257684089	0.9988404156228989
aatkb	50.6542871629606	-0.20041310654674932	0.33771054525638594	-0.5934463976971699	0.5528824455979904	0.9988404156228989
abat	13998.688313822897	-0.04616205647446593	0.17072574271854332	-0.2703872054641942	0.786862382213536	0.9988404156228989
abca12	175.15814830918436	-0.1719443642787157	0.6982220210826671	-0.246260299857197	0.8054807398559825	0.9988404156228989
abca1a	1315.6938196702918	0.21868933902556195	0.38147348281316423	0.5732753359757651	0.5664582823404989	0.9988404156228989
