Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
acrosome reaction	0.060977622065435604	1	1.214829515752794	3.215648243168136	1	0		
apoptotic signaling pathway	0.060977622065435604	2	1.214829515752794	-2.2228346497031835	0	2		
cell-cell adhesion via plasma-membrane adhesion molecules	0.060977622065435604	2	1.214829515752794	-3.566569123520375	0	2		
egg coat formation	0.060977622065435604	1	1.214829515752794	3.215648243168136	1	0		
homophilic cell adhesion via plasma membrane adhesion molecules	0.060977622065435604	2	1.214829515752794	-3.566569123520375	0	2		
positive regulation of acrosome reaction	0.060977622065435604	1	1.214829515752794	3.215648243168136	1	0		
regulation of acrosome reaction	0.060977622065435604	1	1.214829515752794	3.215648243168136	1	0		
binding of sperm to zona pellucida	0.06708116034746098	1	1.1733994337203804	3.215648243168136	1	0		
cellular modified amino acid biosynthetic process	0.06708116034746098	1	1.1733994337203804	-4.54000823889258	0	1		
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	0.06708116034746098	1	1.1733994337203804	-3.9925532522702887	0	1		
sperm-egg recognition	0.06708116034746098	1	1.1733994337203804	3.215648243168136	1	0		
cell-cell recognition	0.06759465591818932	1	1.1700876383332903	3.215648243168136	1	0		
positive regulation of reproductive process	0.06759465591818932	1	1.1700876383332903	3.215648243168136	1	0		
cell-cell adhesion	0.08170866906618207	2	1.087731863567036	-3.566569123520375	0	2		
single fertilization	0.08661311491444355	1	1.0624163423506783	3.215648243168136	1	0		
axoneme assembly	0.08830338223394167	1	1.0540226615707204	-2.0218184029319133	0	1		
cell migration involved in gastrulation	0.08830338223394167	1	1.0540226615707204	-3.1405849947704616	0	1		
cell recognition	0.08830338223394167	1	1.0540226615707204	3.215648243168136	1	0		
cellular modified amino acid metabolic process	0.08830338223394167	1	1.0540226615707204	-4.54000823889258	0	1		
defense response to symbiont	0.08830338223394167	1	1.0540226615707204	-2.9216091508002866	0	1		
defense response to virus	0.08830338223394167	1	1.0540226615707204	-2.9216091508002866	0	1		
female gamete generation	0.08830338223394167	1	1.0540226615707204	3.215648243168136	1	0		
fertilization	0.08830338223394167	1	1.0540226615707204	3.215648243168136	1	0		
microtubule bundle formation	0.08830338223394167	1	1.0540226615707204	-2.0218184029319133	0	1		
oogenesis	0.08830338223394167	1	1.0540226615707204	3.215648243168136	1	0		
regulation of reproductive process	0.08830338223394167	1	1.0540226615707204	3.215648243168136	1	0		
