gene	log2FoldChange	padj	baseMean	pvalue	stat	metadata	value
adgrl2b.1	0.7487444674067895	0.03895515807335321	81.42836200231697	5.114462766742216e-5	4.050333783875698	Treatment	A+ T- P+
chia.4	3.9238618157196776	0.049127767086663374	215.92107462342435	1.1565795614028322e-4	3.8551515559919594	Treatment	A+ T- P+
cks2	1.5334146571667673	0.03989222955107457	44.22734526863168	5.431473024216329e-5	4.036239676675025	Treatment	A+ T- P+
crp7	-3.6914931413180083	0.009502462553595084	91.27612471964983	3.6965572783253425e-6	-4.627752319381103	Treatment	A+ T- P+
cspp1a	2.831741243733716	0.022561677279901084	23.216026745601578	1.3165092504683345e-5	4.357342907875607	Treatment	A+ T- P+
cyp2n13	-1.3449992309222174	0.049127767086663374	1355.0033091750743	1.1580538176381265e-4	-3.854839913747711	Treatment	A+ T- P+
dnajc4	-0.5271963733378047	0.049127767086663374	342.5200576339578	9.639129651120584e-5	-3.8995006048999103	Treatment	A+ T- P+
eomesa	3.5080294172961017	0.04371204805220022	27.81817391805451	6.810871749060331e-5	3.9827977380093036	Treatment	A+ T- P+
fbxw10	4.848349400226586	0.049127767086663374	8.153902925346173	1.022664528568605e-4	3.8851506508945586	Treatment	A+ T- P+
foxj1b	-3.2523911626204476	0.02486983375601313	5.772772635507868	2.176790700745132e-5	-4.245939804803458	Treatment	A+ T- P+
ftr73	-1.5698477831791526	0.03895515807335321	151.42286501538055	5.09103967015192e-5	-4.051407756724456	Treatment	A+ T- P+
gatm	-2.025223782177129	0.02486983375601313	1251.4975575957083	2.1021486663106004e-5	-4.2537554594251725	Treatment	A+ T- P+
gsta.2	-2.233959174080111	0.04517916396384001	1618.9521123366503	7.469446023683736e-5	-3.960814765735518	Treatment	A+ T- P+
hydin	-1.9076606599275379	0.02486983375601313	60.01982835313126	1.8102458884626675e-5	-4.287095368874632	Treatment	A+ T- P+
ifi27.6	-2.2175735104511047	0.04255537988846884	610.6499962205838	6.414863975407411e-5	-3.9970061326969573	Treatment	A+ T- P+
itga2b	2.5317368703704566	0.013293887044665094	30.43550947517473	5.817893673814045e-6	4.532901544618133	Treatment	A+ T- P+
LOC100002544	-1.5402753057939111	0.03835254688697016	257.4434991455514	4.475862510514388e-5	-4.0814343279209595	Treatment	A+ T- P+
LOC100004033	2.0652605071833507	0.049127767086663374	88.6788513931236	1.1199261416934377e-4	3.863022661358626	Treatment	A+ T- P+
LOC101886839	3.711272297156887	0.049127767086663374	28.464627569320754	1.170561919400197e-4	3.852210785367341	Treatment	A+ T- P+
LOC103910192	-1.6010516802715382	0.03895515807335321	326.3654963642546	4.878664096803805e-5	-4.061364931887352	Treatment	A+ T- P+
LOC110437756	8.805404527072731	0.02508935805128074	24.606100036768787	2.3180053633568393e-5	4.2318271375029886	Treatment	A+ T- P+
LOC110439329	0.9728369612450742	0.04816265952975591	38.792709486785554	8.431100136499941e-5	3.931803407218674	Treatment	A+ T- P+
LOC137487415	-2.229662126736398	0.002822518985866237	37.992002337461045	9.60740719721063e-7	-4.899513862607006	Treatment	A+ T- P+
LOC137487483	-1.7397538837622153	0.018156572920388428	369.0321217301068	9.711757944287513e-6	-4.423493445987964	Treatment	A+ T- P+
LOC137490308	4.260360093890353	0.03294763565288817	10.155253957597258	3.52466804942154e-5	4.136614962976848	Treatment	A+ T- P+
LOC137490512	47.22874473494322	2.1044794672030934e-43	11.772686168557776	1.023330642938533e-47	14.51158190787004	Treatment	A+ T- P+
LOC137491207	6.07777506126382	0.02486983375601313	34.18925303984095	1.8551968472952878e-5	4.281641512568995	Treatment	A+ T- P+
LOC141374967	39.53033608198844	7.356699644685584e-11	4.445990456688653	1.0731874025799539e-14	7.7302699771161745	Treatment	A+ T- P+
