gene	log2FoldChange	padj	baseMean	pvalue	stat	metadata	value
aaas	1.0158424599704048	3.614853025330014e-5	231.0422793687067	5.759918771502693e-7	4.9990977875224	Treatment	A- T- P+
aadac	-1.0275478636156175	0.009740096350544543	81.91224945153319	0.0010343331913887214	-3.2810175199874796	Treatment	A- T- P+
aarsd1	0.99641099979429	0.001191154542227129	226.57587663276368	5.985366117973088e-5	4.0133870036750565	Treatment	A- T- P+
aatf	0.7334453687269735	0.04191708659324074	280.5623707682248	0.007641818497167918	2.6674986992109107	Treatment	A- T- P+
abat	-0.5846188744724796	0.03013194021911635	13998.688313822897	0.004856384429379428	-2.816408697466766	Treatment	A- T- P+
abca3b	-0.7314374310200439	0.0074240624586834544	1260.5792819989147	7.18766145912315e-4	-3.382319043933701	Treatment	A- T- P+
abca5	-0.8908716400495679	4.8824056250192647e-4	530.0033669926858	1.783879287452387e-5	-4.290354750865917	Treatment	A- T- P+
abcb4	-0.8744068880326527	0.012828426429723639	18653.800776687935	0.0014976839314218096	-3.175131925792212	Treatment	A- T- P+
abcc1	-0.6837460332639741	0.01553334808848467	674.1528706381172	0.0019413740040596884	-3.0990574054066333	Treatment	A- T- P+
abcc12	-1.6105052281481047	2.675721774025402e-5	4084.629308785666	3.8327012220685374e-7	-5.077084661622388	Treatment	A- T- P+
abcc2	-1.94566275649337	5.45644427726092e-4	14025.183747953019	2.106684258564422e-5	-4.253273061928987	Treatment	A- T- P+
abcc5	-0.7380526022917945	0.024087646815037018	2286.8810914612354	0.0035707007361326	-2.9137899495450696	Treatment	A- T- P+
abcd1	-0.8489770944729133	0.0286455239417881	315.55318159048323	0.004525890566364496	-2.8389735686331066	Treatment	A- T- P+
abcd3a	-0.6804549145999361	0.02251050953866222	6781.753025791766	0.003255931606444272	-2.942481574807262	Treatment	A- T- P+
abcf1	0.5794056165621773	0.031300703729256626	2838.1695984835355	0.005101282059133723	2.8005676074731913	Treatment	A- T- P+
abcf2b	-1.060076524450278	0.006968367251552063	503.26472594062005	6.60644875456296e-4	-3.4054112317878666	Treatment	A- T- P+
abcf3	0.7282616262220859	0.01745152920339874	911.288963496365	0.002270461213859327	3.0523646201055024	Treatment	A- T- P+
abcg2a	-1.0322494983051242	0.009460227401842493	12648.822871715236	9.934018675265355e-4	-3.2923887634745186	Treatment	A- T- P+
abcg2c	-1.866612144521297	0.0025037034494595494	549.5446326206669	1.6564072697372535e-4	-3.766366291445984	Treatment	A- T- P+
abcg4b	1.8314440058621544	0.0328612828577903	32.31583257507797	0.005458819864670029	2.7786327761739122	Treatment	A- T- P+
abcg8	-1.1781246871036894	0.018838945456705752	2832.9766499797834	0.0025509454173651444	-3.0172319448182177	Treatment	A- T- P+
abhd10b	0.737642034133364	0.04657186314084143	218.03063046597546	0.008830608839565974	2.6185432818242447	Treatment	A- T- P+
abhd2a	-0.9904171110902937	0.0038174734752591936	580.6394801151341	2.9327354449770494e-4	-3.6211701534442002	Treatment	A- T- P+
