gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC100147849	17.114765928368072	-19.670366732171377	1.8617364905696678	-10.565601969885918	4.301996469720454e-26	8.847055739980114e-22
si:ch211-125e6.14	728.4261698621275	-24.55199075696535	2.8241380800923652	-8.69362264190792	3.510623323265125e-18	3.6097984321473645e-14
ncoa7a	672.5596294716595	3.3917332885022025	0.5497049689788355	6.170097561247967	6.824786874276133e-10	4.67839140231629e-6
LOC103909395	6.213733154910682	-16.569637558114117	2.877236930607747	-5.7588714303810145	8.467816634044674e-9	4.353516226978218e-5
LOC110438438	159.5407964040568	-9.781774294112267	1.8062657130131576	-5.4154680696422055	6.112858057773023e-8	2.5142185191620445e-4
LOC137491340	12.617771433396191	19.18705976551026	3.6212435007831347	5.298472682480711	1.1677534330028661e-7	4.0024748916173234e-4
LOC101882847	114.36446574139953	-6.612017769432373	1.2659757089859949	-5.222863063248175	1.761776761210186e-7	5.175848442041068e-4
LOC141379337	69.70232271673439	-9.318744174163726	1.8528443198070284	-5.029426419988843	4.919492362166163e-7	0.0012646170053493392
LOC141379345	48.07788405619419	-9.973759732710747	2.0087716561864934	-4.965103774734258	6.866434391075322e-7	0.001568980258360711
LOC141379342	40.32638970025957	-5.799395202743682	1.1964940212004318	-4.846990540684191	1.2534840190423596e-6	0.0025777898851606124
pla2g3	143.63891519041618	-4.772208555468202	0.989376183236861	-4.823452025957769	1.4109471528704717e-6	0.002637829836252841
ccl35.1	65.25914366847454	-3.4724416997356555	0.7475167441974975	-4.645302900155799	3.3957784633795365e-6	0.005819515341616681
si:dkey-3k24.8	112.7892623008263	3.162218136629863	0.6860243824576926	4.609483594885024	4.036703828604516e-6	0.006385754941173221
ankrd66	4.739290135244086	18.078714988466434	3.9810935691620206	4.541142948386369	5.595007794959292e-6	0.008218666807381274
LOC137487211	36.37083906581669	2.7058570227099734	0.6124205223173896	4.4182990675607225	9.948070464189022e-6	0.012786379318502952
si:ch211-194p6.12	181.740404854578	-5.638412989579604	1.2746387012613654	-4.423538202629424	9.709745283442374e-6	0.012786379318502952
f2r	36.56293160390286	-2.7538444785248077	0.6326496200685772	-4.352874626284135	1.3436399734653679e-5	0.016254091796656055
LOC101887036	30.913391745229895	-2.638522878948552	0.6079870439093383	-4.339768265427056	1.4263304778479065e-5	0.01629582570941233
slc7a1b	173.7309239612511	-1.8896689655463383	0.4370460022525647	-4.323730124075856	1.5341295085701748e-5	0.0166049333388135
LOC137489722	65.5160715967628	-7.13915272010297	1.6709422104931568	-4.272531195436102	1.93266505265694e-5	0.01987262840394499
LOC141379353	43.32889703822107	-7.032393195656471	1.6575475441543261	-4.242649461523814	2.2089633027329965e-5	0.02163206205747813
adam12b	24.641081808968373	-2.3706517140181043	0.5677338939452852	-4.175638867611053	2.971509129146324e-5	0.027776856927679158
LOC137496184	14.57192422314931	5.2460712103101335	1.2709582176560867	4.127650411659471	3.6648870823939304e-5	0.032768870804100514
LOC141378311	13.235825572846325	-6.979547054324577	1.7026262683393631	-4.099283080562358	4.144318893298347e-5	0.03551163251695021
mcfd2	1526.3516324204622	-1.5887224651075622	0.3885455752226638	-4.088896043140147	4.3343103151344096e-5	0.035654036652295655
tat	2309.1817196845777	-4.870962604584245	1.2000127361507036	-4.059092422809524	4.926381373632955e-5	0.03896578190336989
rcn3	1094.7996497025554	-3.792760015933952	0.938289793765513	-4.042205341180335	5.295083077981777e-5	0.04033088277729453
LOC110438351	14.100352689618205	-5.195803946170963	1.292238688993666	-4.0207772684914795	5.80064306668195e-5	0.04174691433942771
odc1	2436.6064511393256	2.7302732304770485	0.681174818692545	4.008182856373885	6.118773720841674e-5	0.04174691433942771
phldb1a	446.3235867712582	0.8484872841823035	0.21185696981842736	4.005000566700741	6.201733247078265e-5	0.04174691433942771
slc43a1a	246.46297479545396	-1.9842802880533204	0.4958784097076629	-4.001546042754958	6.292994624470017e-5	0.04174691433942771
cxcl18b	288.4207206342253	-2.340067418254223	0.5898103416685393	-3.967491332271842	7.263315287723891e-5	0.04667814965376307
cyp7a1b	246.62862249654333	-1.270455327310949	0.32211195277266513	-3.9441421418086584	8.008614765768005e-5	0.04844034195824089
dio2	1891.7056292554332	-3.6206557393114958	0.9165018276162348	-3.9505166604289266	7.798266897206088e-5	0.04844034195824089
znf1069	189.01485557981093	-2.1873402592501945	0.5560560774415961	-3.933668469759574	8.365915434166811e-5	0.04915572882961156
