Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
ERK1 and ERK2 cascade	0.06817811157991213	1	1.1663550321740344	-3.4724416997356555	0	1		
L-phenylalanine catabolic process	0.03561423195812067	1	1.448376417034608	-4.870962604584245	0	1		
L-phenylalanine metabolic process	0.03561423195812067	1	1.448376417034608	-4.870962604584245	0	1		
Rho protein signal transduction	0.07807089895534343	1	1.1075108198783326	-2.7538444785248077	0	1		
alpha-amino acid catabolic process	0.06921525009411947	1	1.1597982075367452	-4.870962604584245	0	1		
alpha-amino acid metabolic process	0.03561423195812067	2	1.448376417034608	-1.0703446870535984	1	1		
amine biosynthetic process	0.03732155011407324	1	1.4280403265544857	2.7302732304770485	1	0		
amine metabolic process	0.05318574278485117	1	1.2742047710827247	2.7302732304770485	1	0		
amino acid catabolic process	0.07518841290016763	1	1.1238490822973142	-4.870962604584245	0	1		
amino acid metabolic process	0.03561423195812067	2	1.448376417034608	-1.0703446870535984	1	1		
amino acid transport	0.0696273179076554	1	1.1572203338254212	-1.9842802880533204	0	1		
antimicrobial humoral immune response mediated by antimicrobial peptide	0.03561423195812067	1	1.448376417034608	-2.340067418254223	0	1		
antimicrobial humoral response	0.041968159125537	1	1.3770800800893193	-2.340067418254223	0	1		
arachidonate transport	0.03561423195812067	1	1.448376417034608	-4.772208555468202	0	1		
arachidonic acid secretion	0.03561423195812067	1	1.448376417034608	-4.772208555468202	0	1		
aromatic amino acid family catabolic process	0.038629420305002604	1	1.4130818090756705	-4.870962604584245	0	1		
aromatic amino acid metabolic process	0.04819328646152857	1	1.3170134566944374	-4.870962604584245	0	1		
biogenic amine biosynthetic process	0.03732155011407324	1	1.4280403265544857	2.7302732304770485	1	0		
biogenic amine metabolic process	0.052371220699102716	1	1.2809073031902483	2.7302732304770485	1	0		
blood coagulation	0.06107349823774228	1	1.2141472032752016	-2.7538444785248077	0	1		
carboxylic acid transport	0.03561423195812067	2	1.448376417034608	-3.378244421760761	0	2		
cell chemotaxis	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
cell differentiation involved in kidney development	0.052371220699102716	1	1.2809073031902483	-1.9842802880533204	0	1		
cellular modified amino acid metabolic process	0.06120767395750486	1	1.213194124448123	-3.6206557393114958	0	1		
cellular response to biotic stimulus	0.05318574278485117	1	1.2742047710827247	-2.340067418254223	0	1		
cellular response to chemokine	0.016018268991534412	2	1.7953844175927929	-2.9062545589949393	0	2		
cellular response to cytokine stimulus	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
