Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
Linoleic acid metabolism	0.05468890299208215	1	1.2621007880765152	-4.772208555468202	0	1		
Phenylalanine metabolism	0.05468890299208215	1	1.2621007880765152	-4.870962604584245	0	1		
Primary bile acid biosynthesis	0.05468890299208215	1	1.2621007880765152	-1.270455327310949	0	1		
Ubiquinone and other terpenoid-quinone biosynthesis	0.05468890299208215	1	1.2621007880765152	-4.870962604584245	0	1		
alpha-Linolenic acid metabolism	0.05468890299208215	1	1.2621007880765152	-4.772208555468202	0	1		
Arachidonic acid metabolism	0.05949424660640592	1	1.2255250307067964	-4.772208555468202	0	1		
Arginine and proline metabolism	0.05949424660640592	1	1.2255250307067964	2.7302732304770485	1	0		
Cysteine and methionine metabolism	0.05949424660640592	1	1.2255250307067964	-4.870962604584245	0	1		
Ether lipid metabolism	0.05949424660640592	1	1.2255250307067964	-4.772208555468202	0	1		
Glutathione metabolism	0.05949424660640592	1	1.2255250307067964	2.7302732304770485	1	0		
Tyrosine metabolism	0.05949424660640592	1	1.2255250307067964	-4.870962604584245	0	1		
Steroid hormone biosynthesis	0.06449012835822013	1	1.1905067586618017	-1.270455327310949	0	1		
PPAR signaling pathway	0.06726487629340855	1	1.172211652178152	-1.270455327310949	0	1		
Glycerophospholipid metabolism	0.0780176425425768	1	1.1078071768929612	-4.772208555468202	0	1		
