contrast	Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	L-phenylalanine catabolic process	0.03561423195812067	1	1.448376417034608	-4.870962604584245	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	L-phenylalanine metabolic process	0.03561423195812067	1	1.448376417034608	-4.870962604584245	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	alpha-amino acid metabolic process	0.03561423195812067	2	1.448376417034608	-1.0703446870535984	1	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	amine biosynthetic process	0.03732155011407324	1	1.4280403265544857	2.7302732304770485	1	0		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	amino acid metabolic process	0.03561423195812067	2	1.448376417034608	-1.0703446870535984	1	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	antimicrobial humoral immune response mediated by antimicrobial peptide	0.03561423195812067	1	1.448376417034608	-2.340067418254223	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	antimicrobial humoral response	0.041968159125537	1	1.3770800800893193	-2.340067418254223	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	arachidonate transport	0.03561423195812067	1	1.448376417034608	-4.772208555468202	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	arachidonic acid secretion	0.03561423195812067	1	1.448376417034608	-4.772208555468202	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	aromatic amino acid family catabolic process	0.038629420305002604	1	1.4130818090756705	-4.870962604584245	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	aromatic amino acid metabolic process	0.04819328646152857	1	1.3170134566944374	-4.870962604584245	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	biogenic amine biosynthetic process	0.03732155011407324	1	1.4280403265544857	2.7302732304770485	1	0		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	carboxylic acid transport	0.03561423195812067	2	1.448376417034608	-3.378244421760761	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	cell chemotaxis	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	cellular response to chemokine	0.016018268991534412	2	1.7953844175927929	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	cellular response to cytokine stimulus	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	chemokine-mediated signaling pathway	0.016018268991534412	2	1.7953844175927929	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	chemotaxis	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	cytokine-mediated signaling pathway	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	delamination	0.03732155011407324	1	1.4280403265544857	-2.7538444785248077	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	endothelial to hematopoietic transition	0.03561423195812067	1	1.448376417034608	-2.7538444785248077	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	0.03561423195812067	1	1.448376417034608	-4.870962604584245	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	0.03561423195812067	1	1.448376417034608	-4.870962604584245	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	glomerular epithelial cell development	0.04819328646152857	1	1.3170134566944374	-1.9842802880533204	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	granulocyte chemotaxis	0.029785288714561063	2	1.5259981858443705	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	granulocyte migration	0.029991435186794407	2	1.5230027513531181	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	hormone biosynthetic process	0.04819328646152857	1	1.3170134566944374	-3.6206557393114958	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	icosanoid secretion	0.03561423195812067	1	1.448376417034608	-4.772208555468202	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	icosanoid transport	0.03561423195812067	1	1.448376417034608	-4.772208555468202	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	inflammatory response	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	leukocyte chemotaxis	0.029991435186794407	2	1.5230027513531181	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	leukocyte migration	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	long-chain fatty acid transport	0.04621880629997438	1	1.3351812753006296	-4.772208555468202	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	myeloid leukocyte migration	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	neutrophil chemotaxis	0.029785288714561063	2	1.5259981858443705	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	neutrophil migration	0.029991435186794407	2	1.5230027513531181	-2.9062545589949393	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	organic acid transport	0.03561423195812067	2	1.448376417034608	-3.378244421760761	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	organic anion transport	0.03561423195812067	2	1.448376417034608	-3.378244421760761	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	podocyte development	0.04819328646152857	1	1.3170134566944374	-1.9842802880533204	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	polyamine metabolic process	0.03561423195812067	1	1.448376417034608	2.7302732304770485	1	0		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	positive regulation of intracellular signal transduction	0.03658097718762233	2	1.436744697396404	-3.1131430891302316	0	2		
