contrast	Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
A_plus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	NOD-like receptor signaling pathway	1.2177141003977238e-4	5	3.9144546650647443	-2.312679935727135	0	5		
A_plus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	RIG-I-like receptor signaling pathway	1.2177141003977238e-4	4	3.9144546650647443	-2.3087362551379553	0	4		
A_plus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	Herpes simplex virus 1 infection	1.6723065463225586e-4	5	3.7766841101663804	-7.2430874942709735	0	5		
A_plus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	Toll-like receptor signaling pathway	2.485478066325741e-4	4	3.60459006503986	-2.5354074916232188	0	4		
A_minus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	Glycerolipid metabolism	0.013288205964854544	2	1.8765336490164326	-1.8963261602158932	0	2		
A_minus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	Glycerophospholipid metabolism	0.016733096183220345	2	1.7764236925775485	-1.8963261602158932	0	2		
A_plus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	Apoptosis	0.02979488127052714	3	1.525858340853648	-2.4305360905987676	0	3		
A_plus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	Cytokine-cytokine receptor interaction	0.02979488127052714	3	1.525858340853648	-1.4218954590994284	1	2		
A_plus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	Cytosolic DNA-sensing pathway	0.02979488127052714	2	1.525858340853648	-1.6991272070090457	0	2		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	Linoleic acid metabolism	0.05468890299208215	1	1.2621007880765152	-4.772208555468202	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	Phenylalanine metabolism	0.05468890299208215	1	1.2621007880765152	-4.870962604584245	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	Primary bile acid biosynthesis	0.05468890299208215	1	1.2621007880765152	-1.270455327310949	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	Ubiquinone and other terpenoid-quinone biosynthesis	0.05468890299208215	1	1.2621007880765152	-4.870962604584245	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	alpha-Linolenic acid metabolism	0.05468890299208215	1	1.2621007880765152	-4.772208555468202	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	Arachidonic acid metabolism	0.05949424660640592	1	1.2255250307067964	-4.772208555468202	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	Arginine and proline metabolism	0.05949424660640592	1	1.2255250307067964	2.7302732304770485	1	0		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	Cysteine and methionine metabolism	0.05949424660640592	1	1.2255250307067964	-4.870962604584245	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	Ether lipid metabolism	0.05949424660640592	1	1.2255250307067964	-4.772208555468202	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	Glutathione metabolism	0.05949424660640592	1	1.2255250307067964	2.7302732304770485	1	0		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	Tyrosine metabolism	0.05949424660640592	1	1.2255250307067964	-4.870962604584245	0	1		
A_minus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	Folate transport and metabolism	0.05996934541655341	1	1.2220706915912736	-2.609052164515837	0	1		
A_minus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	Protein export	0.05996934541655341	1	1.2220706915912736	-1.277227542528698	0	1		
A_minus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	RNA polymerase	0.05996934541655341	1	1.2220706915912736	-1.4148745219687002	0	1		
A_minus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	One carbon pool by folate	0.061254523632988826	1	1.2128618332279002	-2.609052164515837	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	Steroid hormone biosynthesis	0.06449012835822013	1	1.1905067586618017	-1.270455327310949	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	PPAR signaling pathway	0.06726487629340855	1	1.172211652178152	-1.270455327310949	0	1		
A_plus_T_minus_P_minus_vs_A_minus_T_minus_P_minus	Glycerophospholipid metabolism	0.0780176425425768	1	1.1078071768929612	-4.772208555468202	0	1		
A_minus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	Cytosolic DNA-sensing pathway	0.08361628898762796	1	1.0777091109778918	-1.4148745219687002	0	1		
A_plus_T_plus_P_minus_vs_A_minus_T_minus_P_minus	C-type lectin receptor signaling pathway	0.08927832795929941	2	1.0492539519733606	-3.3716877762373914	0	2		
