gene_id	entrez_id	gene_name	symbol
spsb1	334190	splA/ryanodine receptor domain and SOCS box containing 1	spsb1
mtus1b	557250	microtubule associated tumor suppressor 1b	mtus1b
si:dkey-286h2.3	790965	si:dkey-286h2.3	si:dkey-286h2.3
znf692	565874	zinc finger protein 692	znf692
rfc3	259256	replication factor C (activator 1) 3	rfc3
bbc3	751763	BCL2 binding component 3	bbc3
gng10	796780	guanine nucleotide binding protein (G protein), gamma 10	gng10
pdk2a	794083	pyruvate dehydrogenase kinase 2a	pdk2a
uqcc6	100190888	ubiquinol-cytochrome c reductase complex assembly factor 6	uqcc6
slc25a44a	492478	solute carrier family 25 member 44a	slc25a44a
nrbp2b	562626	nuclear receptor binding protein 2b	nrbp2b
sco2	606683	synthesis of cytochrome C oxidase 2	sco2
idh2	386951	isocitrate dehydrogenase (NADP(+)) 2	idh2
mtrex	406795	Mtr4 exosome RNA helicase	mtrex
ing5b	368450	inhibitor of growth family, member 5b	ing5b
prpf31	393476	PRP31 pre-mRNA processing factor 31 homolog (yeast)	prpf31
gtdc1	550132	glycosyltransferase-like domain containing 1	gtdc1
LOC100006250	100006250	annexin A2-A-like	LOC100006250
aaas	378454	achalasia, adrenocortical insufficiency, alacrimia	aaas
uchl5	406357	ubiquitin carboxyl-terminal hydrolase L5	uchl5
hephl1b	101886332	hephaestin-like 1b	hephl1b
cdk10	550285	cyclin dependent kinase 10	cdk10
ncbp1	101885456	nuclear cap binding protein subunit 1	ncbp1
recql4	567383	RecQ helicase-like 4	recql4
ciao1	795104	cytosolic iron-sulfur assembly component 1	ciao1
commd9	562660	COMM domain containing 9	commd9
zgc:77262	402952	zgc:77262	zgc:77262
srpk1b	791187	SRSF protein kinase 1b	srpk1b
rmi1	393149	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	rmi1
haus6	558814	HAUS augmin-like complex, subunit 6	haus6
prps1b	560827	phosphoribosyl pyrophosphate synthetase 1B	prps1b
psmc4	326884	proteasome 26S subunit, ATPase 4	psmc4
nsfl1c	492805	NSFL1 (p97) cofactor (p47)	nsfl1c
si:ch211-165i18.2	100149646	si:ch211-165i18.2	si:ch211-165i18.2
tardbpb	325052	TAR DNA binding protein b	tardbpb
rbm12bb	334496	RNA binding motif protein 12Bb	rbm12bb
denr	436970	density-regulated protein	denr
dmap1	393225	DNA methyltransferase 1 associated protein 1	dmap1
psmd4a	415202	proteasome 26S subunit ubiquitin receptor, non-ATPase 4a	psmd4a
pigf	402942	phosphatidylinositol glycan anchor biosynthesis, class F	pigf
psmd6	393261	proteasome 26S subunit, non-ATPase 6	psmd6
fus	394058	FUS RNA binding protein	fus
psmd1	554967	proteasome 26S subunit, non-ATPase 1	psmd1
psmd2	393518	proteasome 26S subunit ubiquitin receptor, non-ATPase 2	psmd2
ssbp1	550504	single-stranded DNA binding protein 1	ssbp1
igbp1	406843	immunoglobulin (CD79A) binding protein 1	igbp1
ppp1r11	550290	protein phosphatase 1, regulatory (inhibitor) subunit 11	ppp1r11
tubb4b	336681	tubulin, beta 4B class IVb	tubb4b
lonp1	563257	lon peptidase 1, mitochondrial	lonp1
gfpt1	567861	glutamine--fructose-6-phosphate transaminase 1	gfpt1
tuba8l4	393154	tubulin, alpha 8 like 4	tuba8l4
psmd3	393544	proteasome 26S subunit, non-ATPase 3	psmd3
imp4	436992	IMP U3 small nucleolar ribonucleoprotein 4	imp4
pfkpa	560944	phosphofructokinase, platelet a	pfkpa
nom1	557585	nucleolar protein with MIF4G domain 1	nom1
h2ax	394048	H2A.X variant histone	h2ax
mmp25b	100333601	matrix metallopeptidase 25b	mmp25b
mcts1	394046	MCTS1 re-initiation and release factor	mcts1
csf3r	100134935	colony stimulating factor 3 receptor	csf3r
zgc:85858	405879	zgc:85858	zgc:85858
h3f3a	406269	H3 histone, family 3A	h3f3a
mrpl33	100536515	mitochondrial ribosomal protein L33	mrpl33
arf2b	327026	ADP-ribosylation factor 2b	arf2b
tars1	449661	threonyl-tRNA synthetase 1	tars1
si:ch211-284o19.8	100007937	si:ch211-284o19.8	si:ch211-284o19.8
tubb2b	641421	tubulin, beta 2b	tubb2b
anxa5b	337132	annexin A5b	anxa5b
armc7	767659	armadillo repeat containing 7	armc7
agr2	335616	anterior gradient 2	agr2
msraa	793910	methionine sulfoxide reductase Aa	msraa
LOC101884777	101884777	butyrophilin-like protein 2	LOC101884777
p2rx4b	387301	purinergic receptor P2X, ligand-gated ion channel, 4b	p2rx4b
zgc:172339	564384	zgc:172339	zgc:172339
pvalb7	402807	parvalbumin 7	pvalb7
