gene_id	entrez_id	gene_name	symbol
ifi27.1	403118	interferon alpha inducible protein 27.1	ifi27.1
mtus1b	557250	microtubule associated tumor suppressor 1b	mtus1b
rbpms2b	393229	RNA binding protein, mRNA processing factor 2b	rbpms2b
si:dkey-286h2.3	790965	si:dkey-286h2.3	si:dkey-286h2.3
rfc3	259256	replication factor C (activator 1) 3	rfc3
pdk2a	794083	pyruvate dehydrogenase kinase 2a	pdk2a
wrap53	321796	WD repeat containing, antisense to TP53	wrap53
si:ch211-108d22.2	793004	si:ch211-108d22.2	si:ch211-108d22.2
ola1	326864	Obg-like ATPase 1	ola1
slc25a17l	566378	solute carrier family 25 member 17-like	slc25a17l
zgc:172145	559095	zgc:172145	zgc:172145
si:dkey-253d23.2	100034432	si:dkey-253d23.2	si:dkey-253d23.2
adap2	100331455	ArfGAP with dual PH domains 2	adap2
pmt	767699	phosphoethanolamine methyltransferase	pmt
snapin	567959	SNAP associated protein	snapin
stard10	402943	StAR-related lipid transfer (START) domain containing 10	stard10
sugt1	492489	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone	sugt1
selenon	352914	selenoprotein N	selenon
golt1bb	557646	golgi transport 1Bb	golt1bb
LOC100006250	100006250	annexin A2-A-like	LOC100006250
nrros	445318	negative regulator of reactive oxygen species	nrros
mad2l1bp	101886806	MAD2L1 binding protein	mad2l1bp
tomm20a	406309	translocase of outer mitochondrial membrane 20	tomm20a
rpap1	570666	RNA polymerase II associated protein 1	rpap1
uchl5	406357	ubiquitin carboxyl-terminal hydrolase L5	uchl5
arpp19b	393947	cAMP-regulated phosphoprotein 19b	arpp19b
hephl1b	101886332	hephaestin-like 1b	hephl1b
cdk10	550285	cyclin dependent kinase 10	cdk10
gtpbp8	561913	GTP binding protein 8 (putative)	gtpbp8
plod2	100036767	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	plod2
timp2b	406650	TIMP metallopeptidase inhibitor 2b	timp2b
commd9	562660	COMM domain containing 9	commd9
zgc:77262	402952	zgc:77262	zgc:77262
srpk1b	791187	SRSF protein kinase 1b	srpk1b
noc3l	321289	NOC3-like DNA replication regulator	noc3l
