gene_id	entrez_id	gene_name	symbol	analysis_group
ifi27.1	403118	interferon alpha inducible protein 27.1	ifi27.1	00_All_Treatments
mtus1b	557250	microtubule associated tumor suppressor 1b	mtus1b	00_All_Treatments
rbpms2b	393229	RNA binding protein, mRNA processing factor 2b	rbpms2b	00_All_Treatments
si:dkey-286h2.3	790965	si:dkey-286h2.3	si:dkey-286h2.3	00_All_Treatments
rfc3	259256	replication factor C (activator 1) 3	rfc3	00_All_Treatments
pdk2a	794083	pyruvate dehydrogenase kinase 2a	pdk2a	00_All_Treatments
wrap53	321796	WD repeat containing, antisense to TP53	wrap53	00_All_Treatments
si:ch211-108d22.2	793004	si:ch211-108d22.2	si:ch211-108d22.2	00_All_Treatments
ola1	326864	Obg-like ATPase 1	ola1	00_All_Treatments
slc25a17l	566378	solute carrier family 25 member 17-like	slc25a17l	00_All_Treatments
zgc:172145	559095	zgc:172145	zgc:172145	00_All_Treatments
si:dkey-253d23.2	100034432	si:dkey-253d23.2	si:dkey-253d23.2	00_All_Treatments
adap2	100331455	ArfGAP with dual PH domains 2	adap2	00_All_Treatments
pmt	767699	phosphoethanolamine methyltransferase	pmt	00_All_Treatments
snapin	567959	SNAP associated protein	snapin	00_All_Treatments
stard10	402943	StAR-related lipid transfer (START) domain containing 10	stard10	00_All_Treatments
sugt1	492489	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone	sugt1	00_All_Treatments
selenon	352914	selenoprotein N	selenon	00_All_Treatments
golt1bb	557646	golgi transport 1Bb	golt1bb	00_All_Treatments
LOC100006250	100006250	annexin A2-A-like	LOC100006250	00_All_Treatments
nrros	445318	negative regulator of reactive oxygen species	nrros	00_All_Treatments
mad2l1bp	101886806	MAD2L1 binding protein	mad2l1bp	00_All_Treatments
tomm20a	406309	translocase of outer mitochondrial membrane 20	tomm20a	00_All_Treatments
rpap1	570666	RNA polymerase II associated protein 1	rpap1	00_All_Treatments
uchl5	406357	ubiquitin carboxyl-terminal hydrolase L5	uchl5	00_All_Treatments
arpp19b	393947	cAMP-regulated phosphoprotein 19b	arpp19b	00_All_Treatments
hephl1b	101886332	hephaestin-like 1b	hephl1b	00_All_Treatments
cdk10	550285	cyclin dependent kinase 10	cdk10	00_All_Treatments
gtpbp8	561913	GTP binding protein 8 (putative)	gtpbp8	00_All_Treatments
plod2	100036767	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	plod2	00_All_Treatments
timp2b	406650	TIMP metallopeptidase inhibitor 2b	timp2b	00_All_Treatments
commd9	562660	COMM domain containing 9	commd9	00_All_Treatments
zgc:77262	402952	zgc:77262	zgc:77262	00_All_Treatments
srpk1b	791187	SRSF protein kinase 1b	srpk1b	00_All_Treatments
noc3l	321289	NOC3-like DNA replication regulator	noc3l	00_All_Treatments
si:ch211-165i18.2	100149646	si:ch211-165i18.2	si:ch211-165i18.2	00_All_Treatments
ddx54	286777	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	ddx54	00_All_Treatments
polr2i	449992	RNA polymerase II subunit I	polr2i	00_All_Treatments
chmp2a	798901	charged multivesicular body protein 2A	chmp2a	00_All_Treatments
utp6	393107	UTP6 small subunit processome component	utp6	00_All_Treatments
rbm12bb	334496	RNA binding motif protein 12Bb	rbm12bb	00_All_Treatments
denr	436970	density-regulated protein	denr	00_All_Treatments
gpn1	445239	GPN-loop GTPase 1	gpn1	00_All_Treatments
exosc5	751632	exosome component 5	exosc5	00_All_Treatments
psmd4a	415202	proteasome 26S subunit ubiquitin receptor, non-ATPase 4a	psmd4a	00_All_Treatments
